"Always","Mindig"
"After number of attempts to login","Megadott számú bejelentkezési kísérlet után"
"Provided form does not exist","A megadott űrlap nem létezik"
"Incorrect CAPTCHA","Érvénytelen CAPTCHA"
"Incorrect CAPTCHA.","Érvénytelen CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","A fiók zárolva. Kérlek várj és próbáld újra vagy lépj velünk kapcsolatba: %1."
"Please enter the letters and numbers from the image","Kérlek, add meg a betűket és a számokat a képről"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Figyelem</strong>: A CAPTCHA kis- és nagybetű érzékeny."
"Reload captcha","CAPTCHA újratöltése"
"Please type the letters and numbers below","Kérlek, írd be a betűket és a zámokat alább"
"Attention: Captcha is case sensitive.","Figyelem: A CAPTCHA kis- és nagybetű érzékeny."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","CAPTCHA engedélyezése az Adminban"
"Font","Betűtípus"
"Forms","Űrlapok"
"Displaying Mode","Megjelenítési mód"
"Number of Unsuccessful Attempts to Login","Sikertelen kísérletek száma a belépéshez"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Ha 0 van megadva, a bejelentkezési űrlapon  a CAPTCHA mindig elérhető lesz."
"CAPTCHA Timeout (minutes)","CAPTCHA időtúllépés (perc)"
"Number of Symbols","Szimbólumok száma"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Maximum 8 szimbólumot adjon meg. Tartomány is megadható (pl 3-5)"
"Symbols Used in CAPTCHA","CAPTCHA-ban használt szimbólumok"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Kérjük csak betűket (a-z vagy A-Z) vagy számokat (0-9) használj ebben a mezőben. Szóközök vagy egyéb karakterek nem engedélyezettek.<br />Hasonló kinézetű karakterek (pl. ""i"", ""l"", ""1"") csökkentik a helyes felismerés esélyét."
"Case Sensitive","Kis- és nagybetű érzékeny"
"Enable CAPTCHA on Storefront","CAPTCHA engedélyezése a Storefronton"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","A CAPTCHA a ""Felhasználó létrehozása"" és az ""Elfelejtettem a jelszavamat"" űrlapokhoz mindig engedélyezve van, ha ki van választva."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
