"Always","Altijd"
"After number of attempts to login","Na aantal pogingen om in te loggen"
"Provided form does not exist","Verstrekte formulier bestaat niet"
"Incorrect CAPTCHA","Onjuiste CAPTCHA"
"Incorrect CAPTCHA.","CAPTCHA fout."
"The account is locked. Please wait and try again or contact %1.","Dit account is vergrendeld. Probeer het op een ander moment opnieuw of neem contact op met %1."
"Please enter the letters and numbers from the image","Voer de letters en cijfers in van de afbeelding"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Let op</strong>: Captcha is hoofdletter gevoelig."
"Reload captcha","CAPTCHA herladen"
"Please type the letters and numbers below","Typ hieronder de letters en cijfers"
"Attention: Captcha is case sensitive.","Opgelet: Captcha is hoofdletter gevoelig."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","CAPTCHA activeren in admin"
"Font","Lettertype"
"Forms","Formulieren"
"Displaying Mode","Weergave modus"
"Number of Unsuccessful Attempts to Login","Aantal verkeerde pogingen om in te loggen"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Als 0 is gekozen, zal CAPTCHA altijd zichtbaar zijn in het login formulier"
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minuten)"
"Number of Symbols","Aantal symbolen"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Geef maximaal 8 symbolen op. Range mogelijk ( bijv 3-5)"
"Symbols Used in CAPTCHA","Symbolen gebruikt in CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Gebruik alleen letters (a-z of A-Z) of cijfers (0-9) in dit veld. Spaties of andere tekens zijn niet toegestaan.<br />Soortgelijke tekens (bijvoorbeeld ""i"", ""l"", ""1"") verkleinen de kans op correcte herkenning door de klant."
"Case Sensitive","Hoofdletter gevoelig"
"Enable CAPTCHA on Storefront","CAPTCHA op Storefront inschakelen"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA voor ""Account aanmaken"" en ""Wachtwoord vergeten"" altijd ingeschakeld indien gekozen."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
