"Always","Sempre"
"After number of attempts to login","Dopo un numero di tentativi di login"
"Provided form does not exist","Apposito form non esiste"
"Incorrect CAPTCHA","CAPTCHA errato"
"Incorrect CAPTCHA.","CAPTCHA errato."
"The account is locked. Please wait and try again or contact %1.","L'account è bloccato. Si prega di attendere e riprovare oppure contattare %1."
"Please enter the letters and numbers from the image","Si prega di inserire le lettere e i numeri dall'immagine"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attenzione</strong>: il Captcha fa distinzione tra maiuscole e minuscole."
"Reload captcha","Ricarica il Captcha"
"Please type the letters and numbers below","Si prega di digitare le lettere e i numeri qui sotto"
"Attention: Captcha is case sensitive.","Attenzione: il Captcha fa distinzione tra maiuscole e minuscole."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Abilita CAPTCHA in Admin"
"Font","Carattere"
"Forms","Moduli"
"Displaying Mode","Modalità di visualizzazione"
"Number of Unsuccessful Attempts to Login","Numero di tentativi di Login falliti"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Se si specifica 0, il CAPTCHA nel form di accesso sarà sempre disponibile."
"CAPTCHA Timeout (minutes)","Timeout CAPTCHA (minuti)"
"Number of Symbols","Numero di simboli"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Specifica al massimo 8 simboli. Intervallo consentito (ad es. 3-5)"
"Symbols Used in CAPTCHA","Simboli utilizzati nel CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Si prega di utilizzare solo lettere (a-z o A-Z) o numeri (0-9) in questo campo. Non sono ammessi spazi o altri caratteri.<br />Caratteri simili (es. ""i"", ""l"", ""1"") diminuiscono la probabilità di un corretto riconoscimento da parte del cliente."
"Case Sensitive","Maiuscole/minuscole"
"Enable CAPTCHA on Storefront","
Usa solo lettere (a-z o A-Z) o numeri (0-9) in questo campo. Non sono consentiti spazi o altri caratteri. <br/> Caratteri con aspetto simile (per esempio ""i"", ""l"", ""1"") diminuiscono la probabilità di riconoscimento corretto dal parte del cliente.                    "
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","Il CAPTCHA per i form ""Crea utente"" e ""Password dimenticata"" è sempre attivato se scelto."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
