"Always","Altid"
"After number of attempts to login","Efter antal forsøg på at logge ind"
"Provided form does not exist","Given formular ikke findes"
"Incorrect CAPTCHA","Forkert CAPTCHA"
"Incorrect CAPTCHA.","Forkert CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","Kontoen er låst. Vent, og prøv igen, eller kontakt %1."
"Please enter the letters and numbers from the image","Indtast bogstaver og tal fra billedet"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Vigtigt</strong>: Forskel på store og små bogstaver ved tastning af Captcha."
"Reload captcha","Genindlæs captcha"
"Please type the letters and numbers below","Indtast bogstaver og tal nedenfor"
"Attention: Captcha is case sensitive.","Vigtigt: Ved indtastning af Captcha, der er forskel på store og små bogstaver."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Aktiver CAPTCHA i Admin"
"Font","Font"
"Forms","Formular"
"Displaying Mode","Viser tilstand"
"Number of Unsuccessful Attempts to Login","Antalmislykkede forsøg på at logge ind"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Hvis 0 er angivet, vil CAPTCHA på Login formularen altid være tilgængelig."
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minutter)"
"Number of Symbols","Antal af symboler"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Angiv maksimalt 8 symboler. Rækker tilladt (f.eks. 3-5)"
"Symbols Used in CAPTCHA","Symboler, anvendt i CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Benyt kun bogstaver (a-z eller A-Z) og tal (0-9) i dette felt. Ingen mellemrum eller andre tegn tillades. < br / > lignende udseende tegn (f.eks. ""i"", ""l"", ""1"") mindske chancen for korrekte anerkendelse af kunden."
"Case Sensitive","Store og små bogstaver"
"Enable CAPTCHA on Storefront","Aktiver CAPTCHA på butiks forside"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA for ""Opret bruger"" og ""Glemt kodeord"" formularer er altid aktiveret, hvis valgt."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
