"Always","Uvek"
"After number of attempts to login","Nakon broja pokušaja da se prijavi"
"Provided form does not exist","Navedeni obrazac ne postoji"
"Incorrect CAPTCHA","Neispravna CAPTCHA"
"Incorrect CAPTCHA.","Neispravna CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","Ovaj nalog je zaključan. Molimo sačekajte i pokušajte ponovo ili spojite %1."
"Please enter the letters and numbers from the image","Molimo unesite slova i brojeve sa slike"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Pažnja</strong>: Captcha je osetljiva na mala i velika slova."
"Reload captcha","Osveži captcha kod"
"Please type the letters and numbers below","Molimo ukucajte slova i brojeve ispod"
"Attention: Captcha is case sensitive.","Pažnja: Captcha je osetljiva na mala i velika slova."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Omogući unesite CAPTCHA u Adminu"
"Font","Font"
"Forms","Forme"
"Displaying Mode","Režim prikaza"
"Number of Unsuccessful Attempts to Login","Broj neuspešnih pokušaja da za prijavljivanje"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Ako je 0 definisana, CAPTCHA na formi za logovanje će uvek biti dostupna."
"CAPTCHA Timeout (minutes)","CAPTCHA je istekla (minuti)"
"Number of Symbols","Broj simbola"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Molimo navesti najviše 8 simbola. Raspon dovoljen (na primer 3-5)"
"Symbols Used in CAPTCHA","Simboli korišćeni u CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Molimo koristiti samo slova (a-z ili A-Z) ili brojeve (0-9) u ovom polju. Proredi ili drugi karakteri nisu dozvoljeni.<br />Karakteri koji su slični (npr. ""i"", ""l"", ""1"") smanjuju mogućnost pravilnog prepoznavanja od strane kupca."
"Case Sensitive","Osetljivo na velika i mala slova"
"Enable CAPTCHA on Storefront","Omogući CAPTCHA u prodavnici"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA za ""Kreiraj korisnika"" i ""Zaboravljena šifra"" forme je uvek odobrena, ako je izabrana."
"Please enter the letters from the image","Molimo unesite slova sa slike"
"Please type the letters below","Otkucajte slova ispod"
