"Please correct the data sent.","Si us plau corregeixi les dades enviades."
"Entity type model '%1' is not found","El tipus de model Entity '%1' no s'ha trobat"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","El tipus de model d'entitat ha de ser una instància de \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","No hi ha tipus de producte disponibles per exportar"
