"Export VCL for Varnish %1","Varnish用VCLエクスポート%1"
"Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.","Ttl値 ""%1""は有効ではありません。ゼロと同じかそれ以上の数字のみ使って下さい"
"Built-in Cache","内蔵キャッシュ"
"Varnish Cache (Recommended)","Varnish キャッシュ（推奨）"
"Unsupported varnish version","サポートされていない varnish バージョン"
"Full Page Cache","フルページキャッシュ"
"Caching Application","キャッシングアプリケーション"
"Varnish Configuration","Varnish設定"
"Access list","リストにアクセス"
"IPs access list separated with ',' that can purge Varnish configuration for config file generation.
                            If field is empty default value localhost will be saved.","Varnish上のキャッシュデータを破棄できるアクセス元IPをカンマ区切りで指定します。これらの設定は設定ファイルに自動的に書き込まれます。空白の場合はlocalhostが自動的に設定されます。"
"Backend host","バックエンドホスト"
"Specify backend host for config file generation. If field is empty default value localhost will be saved.","コンフィグファイルの世代のためのバックエンドホストを指定してください。もしフィールドが空白ならデフォルト値のローカルホストが保存されます。"
"Backend port","バックエンドポート"
"Specify backend port for config file generation. If field is empty default value 8080 will be saved.","コンフィグファイルの
世代のためのバックエンドポートを指定してください。もしフィールドが空白ならデフォルト値の8080が保存されます。"
"Grace period","猶予期間"
"Specify grace period in seconds for config file generation. If field is empty default value 300 will be saved. This grace period will be used to serve cached content when the server is healthy. If the server is not healthy, cached content will be served for 3 days before failing.","設定ファイル生成の猶予期間を秒で指定してください。フィールドが空欄の場合は300秒が標準の値として使用されます。この猶予期間はサーバーが正常稼働時にキャッシュしたコンテンツを提供するために使用されます。サーバーが正常かどうしていない場合、キャッシュされたコンテンツは3日間使用されます。"
"TTL for public content","パブリックコンテントのためのTTL"
"Public content cache lifetime in seconds. If field is empty default value 86400 will be saved.","パブリックコンテントキャッシュの寿命（秒）。 もしフィールドが空の場合はデフォルト値の86400が保存されます。 "
"Page Cache","ページキャッシュ"
"Full page caching","フルページキャッシング"
"Export VCL for Varnish ","Export VCL for Varnish "
"Built-in Application (Not Recommended for Production Use)","Built-in Application (Not Recommended for Production Use)"
"Varnish Caching","Varnish Caching"
"Full page caching.","Full page caching."
"Access List value ""%1"" is not valid. Please use only IP addresses and host names.","アクセスリストの値 ""%1"" が正しくありません。IPアドレスかホスト名をご使用ください。"
"Export Configuration","設定をエクスポート"
