"Make Check payable to:","Tee shekki maksettavaksi:"
"Send Check to:","Lähetä shekki:"
"Purchase Order Number","Ostotilausnumero"
"Make Check payable to: %1","Tee shekki maksettavaksi: %1"
"Purchase Order Number: %1","Ostotilausnumero: %1"
"Make Check payable to","Make Check payable to"
"Send Check to","Send Check to"
"Place Order","Tee tilaus"
"Check / Money Order","Shekki- / rahatilaus"
"Enabled","Käytössä"
"New Order Status","Uuden tilauksen tila"
"Sort Order","Lajittelujärjestys"
"Title","Otsikko"
"Payment from Applicable Countries","Maksu mahdollisista maista"
"Payment from Specific Countries","Maksu mahdollisista maista"
"Make Check Payable to","Make Check Payable to"
"Minimum Order Total","Vähimmäistilausmäärä"
"Maximum Order Total","Maksimitilausmäärä"
"Purchase Order","Ostotilaus"
"Bank Transfer Payment","Tilisiirto"
"Instructions","Ohjeet"
"Cash On Delivery Payment","Postiennakko"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
"Automatically Invoice All Items","Automatically Invoice All Items"
"Purchase order number is a required field.","Purchase order number is a required field."
