"Make Check payable to:","چک قابل پرداخت برای:"
"Send Check to:","ارسال چک به:"
"Purchase Order Number","شماره سفارش"
"Make Check payable to: %1","چک قابل پرداخت برای: %1"
"Purchase Order Number: %1","شماره سفارش: %1"
"Make Check payable to","چک قابل پرداخت برای"
"Send Check to","ارسال چک به"
"Place Order","ایجاد سفارش"
"Check / Money Order","چک / حواله‌ پول"
"Enabled","فعال"
"New Order Status","وضعيت سفارش جديد"
"Sort Order","ترتيب سفارش"
"Title","عنوان"
"Payment from Applicable Countries","پرداخت از کشورهای قابل قبول"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"Make Check Payable to","چک قابل پرداخت برای"
"Minimum Order Total","مجموع حداقل تعداد سفارش"
"Maximum Order Total","مجموع حداکثر تعداد سفارش"
"Purchase Order","سفارش خرید"
"Bank Transfer Payment","پرداخت انتقال بانكی"
"Instructions","دستورالعمل ها"
"Cash On Delivery Payment","پرداخت در محل"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
"Automatically Invoice All Items","Automatically Invoice All Items"
"Purchase order number is a required field.","Purchase order number is a required field."
