"Make Check payable to:","כתוב את השיק לפקודת:"
"Send Check to:","שלח כדי לבדוק ל-:"
"Purchase Order Number","מספר הזמנת הרכישה"
"Make Check payable to: %1","רשום את הצ'ק לפקודת: %1"
"Purchase Order Number: %1","מספר הזמנת רכישה: %1"
"Make Check payable to","כתוב את השיק לפקודת"
"Send Check to","שלח כדי לבדוק ל-"
"Place Order","ביצוע הזמנה"
"Check / Money Order","המחאה / מזומן"
"Enabled","פעיל"
"New Order Status","סטטוס הזמנה חדשה"
"Sort Order","סדר מיון"
"Title","כותרת"
"Payment from Applicable Countries","תשלום ממדינות מאושרות"
"Payment from Specific Countries","תשלום ממדינות ספציפיות"
"Make Check Payable to","Make Check Payable to"
"Minimum Order Total","סך הזמנה מינימלי"
"Maximum Order Total","סך ההזמנה המרבי"
"Purchase Order","Purchase Order"
"Bank Transfer Payment","העברה בנקאית"
"Instructions","הוראות"
"Cash On Delivery Payment","Cash On Delivery Payment"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
"Automatically Invoice All Items","Automatically Invoice All Items"
"Purchase order number is a required field.","Purchase order number is a required field."
