"Store Credit","Кредит Продавнице"
"Delete Orphan Balances","Обриши Орпхан Баланцес"
"Date","Датум"
"Website","Wеб сајт"
"Action","Акција"
"Balance Change","Промена Баланса"
"Balance","Баланс"
"Customer notified","Обавештен корисник"
"Notified","Обавештен"
"No","Не"
"More information","Више информација"
"Update Balance","Ажурирај Баланс"
"An amount on which to change the balance","Износ који ће утицати на баланс"
"Notify Customer by Email","Обавести Купца Мејлом"
"Send Email Notification From the Following Store View","Пошаљи Обавештење Мејлом из Следећег Прегледа Странице"
"Comment","Коментар"
"Failed to initialize customer","Неуспешна иницијализација купца"
"The store credit payment has been removed from shopping cart.","Кредитно плаћање је уклоњено из корпе."
"You are not using store credit in your shopping cart.","Не користите кредит продавнице у својој корпи."
"Please set a website ID.","Молимо подесите ИД веб сајта."
"By admin: %1.","По админу: %1."
"By admin: %1. (%2)","По админу: %1. (%2)"
"Please also set the Store ID.","Молимо да подесите и ИД Продавнице."
"Please enter a store ID to send email notifications.","Молимо упишите ИД продавнице за слање обавештења на мејл."
"Please specify a customer ID.","Молимо наведите ИД купца."
"Please specify a valid customer.","Молимо наведите валидног купца."
"Created","Креиран"
"Updated","Ажуриран"
"Used","Коришћено"
"Refunded","Повраћен новац"
"Reverted","Враћено на старо"
"You need a balance to save your balance history.","You need a balance to save your balance history."
"Order #%1","Поруџбина %1 #"
"There is no credit memo set to balance model.","Није постављен кредитни меморандум за модел равнотеже."
"Order #%1, creditmemo #%2","Поруџбина #%1, књижно обавештење #%2"
"Unknown balance history action code","Непознат баланце хисторy ацтион цоде"
"There is no order set to balance model.","Нема поруџбине за постављање балансног модела."
"You do not have enough store credit to complete this order.","Немате довољно кредита продавнице за довршавање ове поруџбине."
"You can't use more store credit than the order amount.","Не можете усе море сторе цредит тхан тхе ордер амоунт."
"Store Credit Balance","Баланс Кредита Продавнице"
"Balance History","Историја Баланса"
"Refund Store Credit to Store Credit","Рефундирај Кредит Продавнице у Кредиту Продавнице"
"Refund Money to Store Credit","Рефундирај Новац у Кредиту Продавнице"
"Refund to Store Credit","Рефундирај у Кредиту Продавнице"
"Use Store Credit (%1 available)","Користи Кредит Продавнице (%1 доступан)"
"Your balance is:","Ваш баланс је:"
"Use Store Credit","Користи Кредит Продавнице"
"available","доступно"
"Remove","Уклони"
"Refunded to Store Credit","Рефундирано до Кредита Продавнице"
"Store Credit update","Ажурирање Кредита Продавнице"
"%name,","%назив,"
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.","Ажурирали смо ваш <а хреф=""%сторе_урл"">%сторе_наме</а> налод и имате кредит који можете искористити за неку од следећих куповина."
"Your Store Credit balance is now %balance.","Ваш кредитни салдо у продавници је сада %баланце."
"Store credit","Продавница цредит"
"Store credit available","Кредит продавнице је доступан"
"Your store credit was successfully applied","Ваш кредит продавнице успешно је примењен"
"Store Credit Options","Опције Кредита продавнице"
"Enable Store Credit Functionality","Омогући Функционалност Кредита Продавнице"
"Show Store Credit History to Customers","Прикажи Историју Кредита Продавнице Купцу"
"Refund Store Credit Automatically","Аутоматски Рефундирај Кредит Продавнице"
"Store Credit Update Email Sender","Чување Ажурирања Кредита Путем Мејла"
"Store Credit Update Email Template","Чување Ажурирања Кредита Шаблон"
"A balance is needed to save a balance history.","Баланс је неопходан за чување историје баланса."
"The balance history action code is unknown. Verify the code and try again.","Акциони код за историју баланса није познат. Проверите код и покушајте поново."
