"Store Credit","Kredit Prodavnice"
"Delete Orphan Balances","Obriši Orphan Balances"
"Date","Datum"
"Website","Web sajt"
"Action","Akcija"
"Balance Change","Promena Balansa"
"Balance","Balans"
"Customer notified","Obavešten korisnik"
"Notified","Obavešten"
"No","Ne"
"More information","Više informacija"
"Update Balance","Ažuriraj Balans"
"An amount on which to change the balance","Iznos koji će uticati na balans"
"Notify Customer by Email","Obavesti Kupca Mejlom"
"Send Email Notification From the Following Store View","Pošalji Obaveštenje Mejlom iz Sledećeg Pregleda Stranice"
"Comment","Komentar"
"Failed to initialize customer","Neuspešna inicijalizacija kupca"
"The store credit payment has been removed from shopping cart.","Kreditno plaćanje je uklonjeno iz korpe."
"You are not using store credit in your shopping cart.","Ne koristite kredit prodavnice u svojoj korpi."
"Please set a website ID.","Molimo podesite ID veb sajta."
"By admin: %1.","Po adminu: %1."
"By admin: %1. (%2)","Po adminu: %1. (%2)"
"Please also set the Store ID.","Molimo da podesite i ID Prodavnice."
"Please enter a store ID to send email notifications.","Molimo upišite ID prodavnice za slanje obaveštenja na mejl."
"Please specify a customer ID.","Molimo navedite ID kupca."
"Please specify a valid customer.","Molimo navedite validnog kupca."
"Created","Kreiran"
"Updated","Ažuriran"
"Used","Korišćeno"
"Refunded","Povraćen novac"
"Reverted","Vraćeno na staro"
"You need a balance to save your balance history.","You need a balance to save your balance history."
"Order #%1","Porudžbina %1 #"
"There is no credit memo set to balance model.","Nije postavljen kreditni memorandum za model ravnoteže."
"Order #%1, creditmemo #%2","Porudžbina #%1, knjižno obaveštenje #%2"
"Unknown balance history action code","Nepoznat balance history action code"
"There is no order set to balance model.","Nema porudžbine za postavljanje balansnog modela."
"You do not have enough store credit to complete this order.","Nemate dovoljno kredita prodavnice za dovršavanje ove porudžbine."
"You can't use more store credit than the order amount.","Ne možete use more store credit than the order amount."
"Store Credit Balance","Balans Kredita Prodavnice"
"Balance History","Istorija Balansa"
"Refund Store Credit to Store Credit","Refundiraj Kredit Prodavnice u Kreditu Prodavnice"
"Refund Money to Store Credit","Refundiraj Novac u Kreditu Prodavnice"
"Refund to Store Credit","Refundiraj u Kreditu Prodavnice"
"Use Store Credit (%1 available)","Koristi Kredit Prodavnice (%1 dostupan)"
"Your balance is:","Vaš balans je:"
"Use Store Credit","Koristi Kredit Prodavnice"
"available","dostupno"
"Remove","Ukloni"
"Refunded to Store Credit","Refundirano do Kredita Prodavnice"
"Store Credit update","Ažuriranje Kredita Prodavnice"
"%name,","%naziv,"
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.","Ažurirali smo vaš <a href=""%store_url"">%store_name</a> nalod i imate kredit koji možete iskoristiti za neku od sledećih kupovina."
"Your Store Credit balance is now %balance.","Vaš kreditni saldo u prodavnici je sada %balance."
"Store credit","Prodavnica credit"
"Store credit available","Kredit prodavnice je dostupan"
"Your store credit was successfully applied","Vaš kredit prodavnice uspešno je primenjen"
"Store Credit Options","Opcije Kredita prodavnice"
"Enable Store Credit Functionality","Omogući Funkcionalnost Kredita Prodavnice"
"Show Store Credit History to Customers","Prikaži Istoriju Kredita Prodavnice Kupcu"
"Refund Store Credit Automatically","Automatski Refundiraj Kredit Prodavnice"
"Store Credit Update Email Sender","Čuvanje Ažuriranja Kredita Putem Mejla"
"Store Credit Update Email Template","Čuvanje Ažuriranja Kredita Šablon"
"A balance is needed to save a balance history.","Balans je neophodan za čuvanje istorije balansa."
"The balance history action code is unknown. Verify the code and try again.","Akcioni kod za istoriju balansa nije poznat. Proverite kod i pokušajte ponovo."
