"All Payment Methods","همه روش های پرداخت"
"Specific Payment Methods","Specific Payment Methods"
"B2B Payment Methods","روش های پرداخت B2B"
"All Enabled Payment Methods","همه روش های پرداخت فعال"
" (disabled)"," (غیرفعال)"
"Payment Information","اطلاعات پرداخت"
"Available Payment Methods","همه روش های پرداخت موجود"
"This company has no payment methods. Please contact store administrator.","برای این شرکت هیچ روش پرداختی وجود ندارد. لطفا با مدیر فروشگاه تماس بگیرید."
"Default B2B Payment Methods","روش های پرداخت B2B پیش فرض"
"Applicable Payment Methods","روش های پرداخت موجود"
"Payment Methods","روش های پرداخت"
"By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only.","روش های پرداخت انتخاب شده به صورت پیش فرض برای همه شرکت های جدید وجود دارد. اگر سایت مجنتوی شا وب سایت های مختلف دارد، در هر وب سایت خریدار می تواند از روش های پرداخت موجود در آن وب سایت استفاده کند."
"Payment Information (View)","اطلاعات حساب کاربری (نمایش)"
"Use config settings","استفاده از تنظیمات پیکربندی"
