"All Payment Methods","Alle betaalmethodes"
"Specific Payment Methods","Specific Payment Methods"
"B2B Payment Methods","B2B betaalmethodes"
"All Enabled Payment Methods","Alle ingeschakelde betaalmethodes"
" (disabled)"," (uitgeschakeld)"
"Payment Information","Betaalgegevens"
"Available Payment Methods","Beschikbare betaalmethodes"
"This company has no payment methods. Please contact store administrator.","Dit bedrijf heeft geen betaalmethoden. Neem contact op met de winkelbeheerder."
"Default B2B Payment Methods","Standaard B2B betaalmethoden"
"Applicable Payment Methods","Toepasbare betaalmethoden"
"Payment Methods","Betaalmethodes"
"By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only.","Standaard zijn de geselecteerde betaalmethoden beschikbaar voor alle nieuwe bedrijven. Als je Magento-site meerdere websites heeft, kan de koper op een specifieke website betalen met de methoden die alleen voor die website beschikbaar zijn."
"Payment Information (View)","Betaalgegevens (Bekijk)"
"Use config settings","Gebruik configuratie-instellingen"
