"All Payment Methods","Alle Zahlungsarten"
"Specific Payment Methods","Specific Payment Methods"
"B2B Payment Methods","B2B Zahlungsarten"
"All Enabled Payment Methods","Alle aktivierten Zahlungsarten"
" (disabled)"," (deaktiviert)"
"Payment Information","Zahlungsinformation"
"Available Payment Methods","Verfügbare Zahlungsarten"
"This company has no payment methods. Please contact store administrator.","Diese Firma hat keine Zahlungsarten. Bitte kontaktieren Sie den Store-Administrator."
"Default B2B Payment Methods","Standard B2B Zahlungsarten"
"Applicable Payment Methods","Verfügbare Zahlungsarten"
"Payment Methods","Zahlungsarten"
"By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only.","Standardmäßig stehen die ausgewählten Zahlungsarten für alle neuen Unternehmen zur Verfügung. Wenn Ihr Magento-Shop mehrere Websites hat, kann ein Käufer nur jene Zahlungsarten nutzen, die für die entsprechende Website hinterlegt sind."
"Payment Information (View)","Zahlungsinformation (Ansehen)"
"Use config settings","Konfigurationseinstellungen verwenden"
