"All Payment Methods","Όλοι οι Τρόποι Πληρωμής"
"Specific Payment Methods","Συγκεκριμένοι Τρόποι Πληρωμής"
"B2B Payment Methods","B2B Μέθοδοι Πληρωμής"
"All Enabled Payment Methods","Όλοι οι Ενεργοί Τρόποι Πληρωμής"
" (disabled)"," (απενεργοποιημένο)"
"Payment Information","Στοιχεία Πληρωμής"
"Available Payment Methods","Διαθέσιμοι Τρόποι Πληρωμής"
"This company has no payment methods. Please contact store administrator.","Αυτή η εταιρία δεν έχει τρόπους πληρωμής. Παρακαλούμε επικοινωνήστε με τον διαχειριστή καταστήματος."
"Default B2B Payment Methods","Προεπιλεγμένοι B2B Τρόποι Πληρωμής"
"Applicable Payment Methods","Εφαρμοσμένοι Τρόποι Πληρωμής"
"Payment Methods","Τρόποι Πληρωμής"
"By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only.","Από προεπιλογή, οι επιλεγμένοι τρόποι πληρωμής είναι διαθέσιμοι για όλες τις νέες εταιρίες. Αν ο Magento ιστότοπός σας έχει πολλές τοποθεσίες Web, σε ένα συγκεκριμένο ιστότοπο ο αγοραστής θα είναι σε θέση να πληρώσει με τους τρόπους που είναι διαθέσιμοι για αυτόν τον ιστότοπο μόνο."
"Payment Information (View)","Στοιχεία Πληρωμής (Προβολή)"
"Use config settings","Χρήση ρυθμίσεων διαμόρφωσης"
