"All Payment Methods","Bütün ödeme yöntemleri"
"Specific Payment Methods","Özel Ödeme Yöntemleri"
"B2B Payment Methods","B2B ödeme yöntemleri"
"All Enabled Payment Methods","Tüm Etkin Ödeme Yöntemleri"
" (disabled)"," (devre dışı)"
"Payment Information","Ödeme Bilgisi"
"Available Payment Methods","Mevcut ödeme yöntemleri"
"This company has no payment methods. Please contact store administrator.","Bu şirket ödeme yöntemlerine sahip değildir. Lütfen mağaza yöneticisi ile görüşün."
"Default B2B Payment Methods","Varsayılan B2B Ödeme Yöntemleri"
"Applicable Payment Methods","Uygulanabilir ödeme yöntemleri"
"Payment Methods","Tahsilat Yöntemleri"
"By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only.","Varsayılan, Seçilen ödeme yöntemleri bütün yeni şirketler için mevcuttur. Magento siteniz çoklu websitelere sahipse, Belirli websitesinde satıcı sadece websitesinde olan yöntemle ödeme yapabilecek."
"Payment Information (View)","Ödeme Bilgisi (Görüntüle)"
"Use config settings","Yapılandırma Ayarlarını Kullan"
