"All Payment Methods","جميع طرق الدفع"
"Specific Payment Methods","Specific Payment Methods"
"B2B Payment Methods","طرق الدفع الB2B"
"All Enabled Payment Methods","جميع طرق الدفع المفعله"
" (disabled)"," (معطل)"
"Payment Information","معلومات الدفع"
"Available Payment Methods","طرق الدفع المتوفرة"
"This company has no payment methods. Please contact store administrator.","هذه الشركة لاتملك وسائل دفع. الرجاء التواصل بمسؤول المتجر."
"Default B2B Payment Methods","طرق الدفع الB2B الإفتراضية"
"Applicable Payment Methods","طرق الدفع المطبقة"
"Payment Methods","نظم الدفع"
"By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only.","بشكل افتراضي ، تتوفر طرق الدفع المحددة لجميع الشركات الجديدة. إذا كان موقع Magento الخاص بك يحتوي على مواقع ويب متعددة ، فسيتمكن المشتري من موقع ويب محدد من الدفع بالطرق المتاحة لذلك الموقع فقط."
"Payment Information (View)","معلومات الدفع (عرض)"
"Use config settings","استخدام إعدادات التكوين"
