"All Payment Methods","Alle betalingsmåter"
"Specific Payment Methods","Specific Payment Methods"
"B2B Payment Methods","B2B betalingsmetoder"
"All Enabled Payment Methods","Alle aktiverte betalingsmetoder"
" (disabled)"," (deaktivert)"
"Payment Information","Betalingsinformasjon"
"Available Payment Methods","Tilgjengelige betalingsmåter"
"This company has no payment methods. Please contact store administrator.","Dette selskapet har ingen betalingsmetoder. Kontakt butikkens administrator."
"Default B2B Payment Methods","Standard B2B betalingsmetoder"
"Applicable Payment Methods","Gjeldende betalingsmetoder"
"Payment Methods","Betalingsmetoder"
"By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only.","Standard er at valgte betalingsmetoder rt tilgjengelig for alle nye selskaper. Hvis Magento-området har flere nettsteder, på et bestemt nettsted vil kjøperen kun kunne betale med metodene tilgjengelig for det nettstedet."
"Payment Information (View)","Betalingsinformasjon (visning)"
"Use config settings","Bruk konfigurasjonsinnstillinger"
