"Payment Type","Ödeme Türü"
"Transaction Type","İşlem Tipi"
"Transaction ID","İşlem ID"
"BeagleScore","BeagleScore"
"CVV Verification","CVV Doğrulaması"
"Address Verification","Adres doğrulama"
"Email Verification","E-mail Doğrulama"
"Mobile Verification","Mobil doğrulama"
"Phone Verification","Telefon doğrulama"
"Card number","Kart Numarasi"
"Expiration Date","Son Kullanma Tarihi"
"Response Code","Cevap Kodu"
"Fraud Message","Dolandırıcılık Mesajı"
"Approve Message","Mesajı onaylayın"
"Sorry, but something went wrong","Üzgünüz, ama bir şeyler ters gitti"
"Wrong response type","Yanlış yanıt türü"
"Transaction has been declined. Please try again later.","İşlem reddedildi. Lütfen daha sonra tekrar deneyiniz."
"Authorize Only","Sadece Provizyon"
"Authorize and Capture","Provizyon al ve Ödemeyi Al"
"Credit Card Type","Kredi Kartı Tipi"
"Credit Card Number","Kredi Kartı Numarası"
"Card Verification Number","Kart Güvenlik Numarası"
"eWAY","eWAY"
"Enabled","Aktif edildi"
"Connection Type","Bağlantı Türü"
"Title","Başlık"
"Sandbox Mode","Sandbox (Test) Kipi"
"Live API Key","Canlı API anahtarı"
"Live API Password","Canlı API Şifresi"
"Live Client-side Encryption Key","Canlı İstemci Tarafında Şifreleme Anahtarı"
"Sandbox API Key","Sandbox API Anahtarı"
"Sandbox API Password","Sandbox API Parolası"
"Sandbox Client-side Encryption Key","Sandbox İstemci Tarafındaki Şifreleme Anahtarı"
"Payment Action","Ödeme İşlemi"
"Debug","Hata düzeltme"
"Credit Card Types","Kredi Kartı Tipleri"
"Payment from Applicable Countries","Mümkün olan Ülkelerden Tahsilat"
"Payment from Specific Countries","Sadece Seçilen Ülkelerden Tahsilat"
"Sort Order","Sıralama"
"Transaction has been declined, please, try again later.","İşlem reddedildi, lütfen daha sonra yeniden deneyin."
"Switch/Solo/Maestro Only","Sadece Switch/Solo/Maestro"
"Issue Number","İşlem Numarası"
"Start Date","Başlangıç Tarihi"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
