"Payment Type","付款類型"
"Transaction Type","交易類型"
"Transaction ID","交易編號"
"BeagleScore","BeagleScore"
"CVV Verification","CVV 驗證"
"Address Verification","Address Verification"
"Email Verification","Email Verification"
"Mobile Verification","Mobile Verification"
"Phone Verification","Phone Verification"
"Card number","卡號"
"Expiration Date","到期日期"
"Response Code","Response Code"
"Fraud Message","Fraud Message"
"Approve Message","Approve Message"
"Sorry, but something went wrong","對不起，出了問題。"
"Wrong response type","Wrong response type"
"Transaction has been declined. Please try again later.","Transaction has been declined. Please try again later."
"Authorize Only","僅授權"
"Authorize and Capture","授權和提取"
"Credit Card Type","信用卡類型"
"Credit Card Number","信用卡卡號"
"Card Verification Number","信用卡驗證號碼"
"eWAY","eWAY"
"Enabled","啟用"
"Connection Type","Connection Type"
"Title","標題"
"Sandbox Mode","Sandbox Mode"
"Live API Key","Live API Key"
"Live API Password","Live API Password"
"Live Client-side Encryption Key","Live Client-side Encryption Key"
"Sandbox API Key","Sandbox API Key"
"Sandbox API Password","Sandbox API Password"
"Sandbox Client-side Encryption Key","Sandbox Client-side Encryption Key"
"Payment Action","付款操作"
"Debug","除錯"
"Credit Card Types","信用卡類型"
"Payment from Applicable Countries","適用國家的付款"
"Payment from Specific Countries","特定國家的付款"
"Sort Order","訂單排序"
"Transaction has been declined, please, try again later.","Transaction has been declined, please, try again later."
"Switch/Solo/Maestro Only","Switch/Solo/Maestro Only"
"Issue Number","Issue Number"
"Start Date","開始日期"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
