"Payment Type","결제 타입"
"Transaction Type","트랜잭션 타입"
"Transaction ID","트랜잭션 ID"
"BeagleScore","BeagleScore"
"CVV Verification","CVV 인증"
"Address Verification","Address Verification"
"Email Verification","이메일 인증"
"Mobile Verification","Mobile Verification"
"Phone Verification","전화 인증"
"Card number","카드 번호"
"Expiration Date","유효기간"
"Response Code","Response Code"
"Fraud Message","Fraud Message"
"Approve Message","Approve Message"
"Sorry, but something went wrong","죄송합니다, 문제가 발생했습니다"
"Wrong response type","Wrong response type"
"Transaction has been declined. Please try again later.","결제요청이 거절 되었습니다. 나중에 다시 시도 하십시오."
"Authorize Only","인증만"
"Authorize and Capture","인증과 캡쳐"
"Credit Card Type","신용카드 타입"
"Credit Card Number","신용카드 번호"
"Card Verification Number","카드 인증 번호"
"eWAY","eWAY"
"Enabled","활성화"
"Connection Type","Connection Type"
"Title","타이틀"
"Sandbox Mode","Sandbox Mode"
"Live API Key","Live API Key"
"Live API Password","Live API Password"
"Live Client-side Encryption Key","Live Client-side Encryption Key"
"Sandbox API Key","Sandbox API Key"
"Sandbox API Password","Sandbox API Password"
"Sandbox Client-side Encryption Key","Sandbox Client-side Encryption Key"
"Payment Action","결제 방법"
"Debug","디버그"
"Credit Card Types","신용카드 타입"
"Payment from Applicable Countries","해당 국가에서 지불"
"Payment from Specific Countries","특정 국가에서 지불"
"Sort Order","정렬 순서"
"Transaction has been declined, please, try again later.","Transaction has been declined, please, try again later."
"Switch/Solo/Maestro Only","Switch/Solo/Maestro Only"
"Issue Number","Issue Number"
"Start Date","시작 날짜"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
