"Payment Type","Τύπος Πληρωμής"
"Transaction Type","Τύπος Συναλλαγής"
"Transaction ID","ID Συναλλαγής"
"BeagleScore","BeagleScore"
"CVV Verification","Eπαλήθευση CVV"
"Address Verification","Επαλήθευση Διεύθυνσης"
"Email Verification","Επαλήθευση Email"
"Mobile Verification","Επαλήθευση Κινητού"
"Phone Verification","Επαλήθευση Τηλεφώνου"
"Card number","Αριθμός Κάρτας"
"Expiration Date","Ημερομηνία λήξης"
"Response Code","Κωδικός Απάντησης"
"Fraud Message","Μήνυμα απάτης"
"Approve Message","Μήνυμα Έγκρισης"
"Sorry, but something went wrong","Συγνώμη, αλλά κάτι πήγε στραβά"
"Wrong response type","Λάθος τύπος απάντησης"
"Transaction has been declined. Please try again later.","Η συναλλαγή έχει απορριφθεί, παρακαλώ δοκιμάστε ξανά αργότερα."
"Authorize Only","Εξουσιοδότηση Μόνο"
"Authorize and Capture","Εξουσιοδότηση και Δέσμευση"
"Credit Card Type","Είδος Πιστωτικής Κάρτας"
"Credit Card Number","Αριθμός πιστωτικής κάρτας"
"Card Verification Number","Αριθμός Επικύρωσης Κάρτας"
"eWAY","eWAY"
"Enabled","Ενεργό"
"Connection Type","Τύπος σύνδεσης"
"Title","Τίτλος"
"Sandbox Mode","Κατάσταση λειτουργίας sandbox"
"Live API Key","Ζωντανό κλειδί API"
"Live API Password","Ζωντανός κωδικός πρόσβασης API"
"Live Client-side Encryption Key","Ζωντανό κλειδί πελάτη Sandbox"
"Sandbox API Key","Sandbox κλειδί API"
"Sandbox API Password","Sandbox κωδικός πρόσβασης API"
"Sandbox Client-side Encryption Key","Κρυπτογράφηση κλειδιού πελάτη Sandbox"
"Payment Action","Ενέργεια Πληρωμής"
"Debug","Αποσφαλμάτωση"
"Credit Card Types","Τύποι Πιστωτικών Καρτών"
"Payment from Applicable Countries","Πληρωμή από Εφαρμοστέες Χώρες"
"Payment from Specific Countries","Πληρωμή από Συγκεκριμένες Χώρες"
"Sort Order","Σειρά Ταξινόμησης"
"Transaction has been declined, please, try again later.","Η συναλλαγή έχει απορριφθεί, παρακαλώ δοκιμάστε ξανά αργότερα."
"Switch/Solo/Maestro Only","Switch/Solo/Maestro Μόνο"
"Issue Number","Αριθμός Έκδοσης"
"Start Date","Ημερομηνία έναρξης"
"The response type is incorrect. Verify the type and try again.","Ο τύπος απάντησης είναι εσφαλμένος. Επαληθεύστε τον τύπο και προσπαθήστε ξανά."
