"Payment Type","Tipo de pago"
"Transaction Type","Tipo de transacción"
"Transaction ID","Id de la transacción"
"BeagleScore","BeagleScore"
"CVV Verification","Verificación CVV"
"Address Verification","Verificación de dirección"
"Email Verification","Verificación de correo electrónico"
"Mobile Verification","Verificación móvil"
"Phone Verification","Verificación del teléfono"
"Card number","Numero de tarjeta"
"Expiration Date","Fecha de vencimiento"
"Response Code","Código de respuesta"
"Fraud Message","Mensaje de fraude"
"Approve Message","Apruebar mensaje"
"Sorry, but something went wrong","Lo sentimos, pero algo salió mal"
"Wrong response type","Tipo de respuesta equivocada"
"Transaction has been declined. Please try again later.","La operación ha sido rechazada. Por favor, inténtalo más tarde."
"Authorize Only","Sólo Autorizar"
"Authorize and Capture","Autorizar y Capturar"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Number","Número de tarjeta de crédito"
"Card Verification Number","Número de verificación de tarjeta"
"eWAY","eWAY"
"Enabled","Habilitado"
"Connection Type","Tipo de conexión"
"Title","Título"
"Sandbox Mode","Modo de prueba"
"Live API Key","Live API Key"
"Live API Password","Contraseña Live API"
"Live Client-side Encryption Key","Llave de cifrado en el lado del cliente en vivo"
"Sandbox API Key","Clave de API de Sandbox"
"Sandbox API Password","Contraseña de Sandbox API"
"Sandbox Client-side Encryption Key","Clave de cifrado de lado cliente de Sandbox"
"Payment Action","Acción de pago"
"Debug","Depurar"
"Credit Card Types","Tipos de tarjeta de crédito"
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Specific Countries","Pago desde países específicos"
"Sort Order","Orden de aparición"
"Transaction has been declined, please, try again later.","La operación ha sido rechazada. Por favor, inténtalo más tarde."
"Switch/Solo/Maestro Only","Switch/Solo/Maestro únicamente"
"Issue Number","Número de emisión"
"Start Date","Fecha de inicio"
"The response type is incorrect. Verify the type and try again.","El tipo de respuesta es incorrecto. Verifique el tipo y vuelva a intentarlo."
