"Dynamic","動的"
"Constant","不変"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","コンバージョンカラー値""%1""は無効です。 6桁の16進法値で設定してください"
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","コンバージョンID値""%1""が有効ではありません。コンバージョンID値は整数でなければなりません"
"Google AdWords","Google AdWords"
"Enable","有効"
"Conversion ID","コンバージョン ID"
"Conversion Language","コンバージョン言語"
"Conversion Format","コンバージョンフォーマット"
"Conversion Color","コンバージョンカラー"
"Conversion Label","コンバージョンラベル"
"Conversion Value Type","コンバージョン値タイプ"
"Conversion Value","コンバージョン値"
"Send Order Currency","注文通貨を送信"
