"Dynamic","דינמי"
"Constant","קבוע"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","ערך צבע ההמרה אינו חוקי ""%1"". אנא הגדר את הערך ההקסדצימלי בן 6 ספרות."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","ערך מזהה ההמרה אינו חוקי ""%1"". מזהה ההמרה צריך להיות שלם."
"Google AdWords","Google AdWords"
"Enable","אפשר"
"Conversion ID","מזהה המרה"
"Conversion Language","המרת שפה"
"Conversion Format","המרת פורמט"
"Conversion Color","צבע המרה"
"Conversion Label","תווית המרה"
"Conversion Value Type","סוג ערך ההמרה"
"Conversion Value","ערך המרה"
"Send Order Currency","שלח מטבע של הזמנה"
