"Dynamic","Dynamisk"
"Constant","Konstant"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Färgkonverteringsvärde är inte giltigt ""%1"". Ange 6-siffrigt hexadecimalsvärde."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Konverteringsvärde för Id ""%1"" är inte giltigt. Konverterings-Id bör vara ett heltal."
"Google AdWords","Google AdWords"
"Enable","Aktivera"
"Conversion ID","Konvertering-ID"
"Conversion Language","Konverteringsspråk"
"Conversion Format","Konverteringsformat"
"Conversion Color","Konverteringsvärde"
"Conversion Label","Konvertering etikett"
"Conversion Value Type","Konverteringstyp för Värdet"
"Conversion Value","Konverteringsvärde"
"Send Order Currency","Send Order Currency"
