"Dynamic","动态"
"Constant","转换值"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","转换颜色值不是有效的""%1""。请设置 6 位数的十六进制值。"
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","转换 Id 值不是有效的""%1""。转换 Id 应该是一个整数。"
"Google AdWords","Google AdWords"
"Enable","启用"
"Conversion ID","转换 ID"
"Conversion Language","转换语言"
"Conversion Format","转换格式"
"Conversion Color","转换颜色"
"Conversion Label","转换标签"
"Conversion Value Type","转换值类型"
"Conversion Value","转换值"
"Send Order Currency","发送订单币种"
