"Dynamic","Dinâmico"
"Constant","Constante"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","O valor da Cor de Conversão ""%1"" não é válido. Por favor defina um valor de 6 dígitos hexadecimal."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","O valor de Id da Conversão não é válido ""%1"". O Id da Conversão deveria ser um número inteiro."
"Google AdWords","Google AdWords"
"Enable","Habilitado"
"Conversion ID","ID de conversão"
"Conversion Language","Linguagem de Conversão"
"Conversion Format","Formato de Conversão"
"Conversion Color","Cor de Conversão"
"Conversion Label","Etiqueta de Conversão"
"Conversion Value Type","Tipo de Valor de Conversão"
"Conversion Value","Taxa de Conversão"
"Send Order Currency","Moeda Base"
