"Dynamic","Dinamik"
"Constant","Sabit"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Dönüşüm renk değeri geçerli değil ""%1"". Lütfen onaltılık 6 haneli değer ayarlayın."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Dönüşüm kimlik değeri geçerli değil ""%1"". Dönüşüm kimliği bir tam sayı olmalıdır."
"Google AdWords","Google AdWords"
"Enable","Aktif et"
"Conversion ID","Dönüşüm Kimliği"
"Conversion Language","Dönüşüm Dili"
"Conversion Format","Dönüşüm Formatı"
"Conversion Color","Dönüşüm Rengi"
"Conversion Label","Dönüşüm Etiketi"
"Conversion Value Type","Dönüşüm Değeri Türü"
"Conversion Value","Dönüşüm Değeri"
"Send Order Currency","Sipariş Para Birimi Gönder"
