"Dynamic","Dynamique"
"Constant","Constante"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Valeur de couleur de conversion non valide «%1». Définissez une valeur hexadécimale à 6 chiffres."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","La valeur de l'identifiant de conversion est non valide ""%1"". Un identifiant de conversion doit être un entier."
"Google AdWords","Google Ads"
"Enable","Activer"
"Conversion ID","ID de conversion"
"Conversion Language","Langue de conversion"
"Conversion Format","Format de conversion"
"Conversion Color","Couleur de conversion"
"Conversion Label","Etiquette de conversion"
"Conversion Value Type","Type de valeur de conversion"
"Conversion Value","Valeur de conversion"
"Send Order Currency","Envoyer la devise de la commande"
