"Dynamic","Dynamisch"
"Constant","Constante"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Kleur conversiewaarde is niet geldig ""%1"". Stel de hexadecimale waarde in van de 6-cijferige code."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Conversie id-waarde is niet geldig ""%1"". Conversie-Id moet een geheel getal zijn."
"Google AdWords","Google AdWords"
"Enable","Activeer"
"Conversion ID","Conversie-ID"
"Conversion Language","Conversie taal"
"Conversion Format","Conversie-formaat"
"Conversion Color","Conversie kleur"
"Conversion Label","Conversie Label"
"Conversion Value Type","Waardetype conversie"
"Conversion Value","Conversiewaarde"
"Send Order Currency","Bestelling valuta"
