"Dynamic","Dinamički"
"Constant","Konstanta"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Konverzija vrednosti Boje nije validna ""%1"". Molimo podesite heksadecimalnu 6-cifrenu vrednost."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Vrednost Id Konverzije nije validna ""%1"". Id Konverzije treba da bude celi broj."
"Google AdWords","Google AdWords"
"Enable","Omogući"
"Conversion ID","ID Konverzije"
"Conversion Language","Jezik Konverzije"
"Conversion Format","Format Konverzije"
"Conversion Color","Boja Konverzije"
"Conversion Label","Oznaka Konverzije"
"Conversion Value Type","Tip Vrednosti Konverzije"
"Conversion Value","Vrednost Konverzije"
"Send Order Currency","Pošalji Porudžbina Currency"
