"Dynamic","Dinâmico"
"Constant","Constante"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","O valor da Cor de Conversão não é válido ""%1"". Por favor defina um valor de 6 dígitos hexadecimal."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","O valor de Id da Conversão não é válido ""%1"". O Id da Conversão devia ser um número inteiro."
"Google AdWords","Google AdWords"
"Enable","Ativar"
"Conversion ID","ID de Conversão"
"Conversion Language","Linguagem de Conversão"
"Conversion Format","Formato de Conversão"
"Conversion Color","Cor de Conversão"
"Conversion Label","Etiqueta de Conversão"
"Conversion Value Type","Tipo de Valor de Conversão"
"Conversion Value","Valor de Conversão"
"Send Order Currency","Moeda Base"
