"Dynamic","Dynamisk"
"Constant","Konstant"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Fargekonverteringsverdi er ikke gyldig ""%1"". Angi 6-sifret heksadesimalverdi."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Conversion Id value is not valid ""%1"". Conversion Id should be an integer."
"Google AdWords","Google AdWords"
"Enable","Aktivere"
"Conversion ID","Konvertering ID"
"Conversion Language","Språkkonvertering"
"Conversion Format","Conversion Format"
"Conversion Color","Conversion Color"
"Conversion Label","Conversion Label"
"Conversion Value Type","Conversion Value Type"
"Conversion Value","Conversion Value"
"Send Order Currency","Send Order Currency"
