"Dynamic","Dynamisch"
"Constant","Konstante"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Farbton-Wert ""%1"" ist ungültig. Bitte geben Sie einen sechsstelligen Hexadezimalwert ein."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Conversion ID Wert ""%1"" ist ungültig. Conversion ID muss eine Ganzzahl sein."
"Google AdWords","Google Adwords"
"Enable","Aktivieren"
"Conversion ID","Konvertierungs-ID"
"Conversion Language","Konversionssprache"
"Conversion Format","Umwandlungsformat"
"Conversion Color","Konversionsfarbe"
"Conversion Label","Umbau-Label"
"Conversion Value Type","Umwandlungswert Typ"
"Conversion Value","Konversionswert"
"Send Order Currency","Bestellwährung senden"
