"Dynamic","Dinamico"
"Constant","Costante"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Conversione valore colore non valido ""%1"". Si prega di impostare il valore a 6 cifre esadecimali."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Valore id di conversione non valido ""%1"". L'id di conversione deve essere un valore intero."
"Google AdWords","Google AdWords"
"Enable","Attiva"
"Conversion ID","ID conversione"
"Conversion Language","Lingua conversione"
"Conversion Format","Conversione formato"
"Conversion Color","Colore conversione"
"Conversion Label","Etichetta conversione"
"Conversion Value Type","Tipo di valore di conversione"
"Conversion Value","Valore di conversione"
"Send Order Currency","Send Order Currency"
