"Dynamic","Dinámico"
"Constant","Constante"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","El valor de conversión de color ""%1"" no es válido. Configure un valor hexadecimal de 6 dígitos."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","El valor Id de conversión ""%1"" no es valido. Id de conversión debe ser un entero."
"Google AdWords","Google AdWords"
"Enable","Activado"
"Conversion ID","ID de conversión"
"Conversion Language","Conversión de Lenguaje"
"Conversion Format","Formato de conversión"
"Conversion Color","Conversión de color"
"Conversion Label","Conversión de etiqueta"
"Conversion Value Type","Tipo de valor de conversión"
"Conversion Value","Valor de conversión"
"Send Order Currency","Enviar Orden Moneda"
