"Dynamic","Dynamický"
"Constant","Konstantní"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Hodnota barvy konverze není platná ""%1"". Zadejte prosím hexadecimální 6-ti místnou hodnotu."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Hodnota ID konverze není platná ""%1"". ID konverze musí být celé číslo."
"Google AdWords","Google AdWords"
"Enable","Povolit"
"Conversion ID","ID konverze"
"Conversion Language","Jazyk konverze"
"Conversion Format","Formát konverze"
"Conversion Color","Barva konverze"
"Conversion Label","Označení konverze"
"Conversion Value Type","Typ hodnoty konverze"
"Conversion Value","Hodnota konverze"
"Send Order Currency","Měna objednávky"
