"Gift Card Information","Informații card cadou"
"Virtual","Virtual"
"Physical","Fizic"
"Combined","Combinat"
"Add Amount","Adăugare sumă"
"All Websites","Toate website-urile"
"Gift Card Type","Tip card cadou"
"Gift Card Sender","Expeditor card cadou"
"Gift Card Recipient","Destinatar card cadou"
"Gift Card Message","Mesaj card cadou"
"Gift Card Lifetime","Durata de viață a cardului cadou"
"Yes","Da"
"No","Nu"
"Gift Card Is Redeemable","Cardul cadou este rambursabil"
"We cannot create this gift card.","Nu putem crea acest card de cadou."
"N/A","N/A"
"Gift Card Accounts","Conturi de card cadou"
"Duplicate amount found.","Sumă duplicată găsită."
"Something went wrong while preparing the gift card.","Ceva nu a mers bine în timpul pregătirii cardului cadou."
"Please specify a gift card amount.","Vă rugăm să specificați suma cardului cadou."
"Please specify all the required information.","Vă rugăm să specificați toate informațiile necesare."
"Gift Card max amount is %1","Valoarea maximă a cardului cadou este %1"
"Gift Card min amount is %1","Valoarea minimă a cardului cadou este %1"
"Please specify a recipient name.","Vă rugăm să specificați numele destinatarului."
"Please specify a sender name.","Vă rugăm să specificați numele expeditorului."
"Please specify a recipient email.","Vă rugăm să specificați un e-mail al destinatarului."
"Please specify a sender email.","Vă rugăm să specificați un e-mail expeditor."
"Ordered","Comandat"
"Invoiced","Facturat"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Unele conturi de card cadou nu au fost create corespunzător. Puteți crea manual conturi de card cadou <a href=""%1"">aici</a>."
"Amount","Sumă"
"To","Către"
"Treat Balance as Store Credit","Tratează Soldul ca Credit Magazin"
"[GLOBAL]","[GLOBAL]"
"Use Config Settings","Folosiți setări de configurare"
"Lifetime (days)","Durata de viață (zile)"
"Allow Message","Permite mesaj"
"[STORE VIEW]","[VIZUALIZARE MAGAZIN]"
"Email Template","Șablon e-mail"
"All Websites [%1]","Toate website-urile [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","Disponibilitate:"
"Out of stock","Stoc epuizat"
"Choose an Amount...","Alege o valoare..."
"Other Amount...","Altă valoare..."
"Amount in %1","Suma în %1"
"Minimum","Minim"
"Maximum","Maxim"
"Sender Name","Nume expeditor"
"Sender Email","Email expeditor"
"Recipient Name","Nume destinatar"
"Recipient Email","E-mail destinatar"
"Message","Mesaj"
"Maximum length of the message is %1 characters.","Lungimea maximă a mesajului este de %1 caractere."
"Quantity","Cantitate"
"Website","Website"
"Action","Acțiune"
"Delete Amount","Șterge suma"
"Delete","Șterge"
"From","De la"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maxim: %1"
"Availability","Disponibilitate"
"In stock","În stoc"
"You've been sent a gift from %store_name","Ai primit un cadou de la %store_name"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender ți-a trimis un card cadou pentru a fi folosit la <a href=""%store_url"">%store_name</a> și este acum gata pentru a fi folosit pentru achiziții."
"Gift Card Codes:","Codurile Cardului Cadou:"
"Gift Card Code:","Codul Cardului Cadou:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Fiecare card are un sold de balanță %b care poate fi folosit la <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Cardul are un sold de balanță %b care poate fi folosit la <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Dă click pe codul (codurile) de mai sus pentru a le revendica în Credit Magazin."
"Message from %sender_name:","Mesaj de la %sender_name:"
"Gift Cards","Carduri cadou"
"Gift Card Email Settings","Setări Email Card Cadou"
"Gift Card Notification Email Sender","Trimitere e-mail cu cardul cadou"
"Gift Card Notification Email Template","Șablon e-mail de notificare card cadou"
"Gift Card General Settings","Setări Generale Card Cadou"
"Redeemable","Rambursabil"
"If empty no expiration.","Dacă este gol fără expirare."
"Allow Gift Message","Permite mesaj cadou"
"Gift Message Maximum Length","Lungime Maximă Mesaj Cadou"
"Generate Gift Card Account when Order Item is","Generează un cont de card cadou când elementul din comandă este"
"Messaging and Lifetime","Mesagerie și Durata de viață"
"Amount should be specified or Open Amount should be allowed","Suma trebuie specificată sau suma deschisă trebuie permisă"
