"Gift Card Information","Gavekortinformasjon"
"Virtual","Virtuell"
"Physical","Fysisk"
"Combined","Kombinert"
"Add Amount","Legg til beløp"
"All Websites","Alle nettsteder"
"Gift Card Type","Gavekort-type"
"Gift Card Sender","Gavekort-avsender"
"Gift Card Recipient","Gavekort-mottaker"
"Gift Card Message","Gavekort melding"
"Gift Card Lifetime","Gift Card Lifetime"
"Yes","Ja"
"No","Nei"
"Gift Card Is Redeemable","Gift Card Is Redeemable"
"We cannot create this gift card.","We cannot create this gift card."
"N/A","I/T"
"Gift Card Accounts","Gavekort-kontoer"
"Duplicate amount found.","Duplikate beløp funnet."
"Something went wrong while preparing the gift card.","Something went wrong while preparing the gift card."
"Please specify a gift card amount.","Please specify a gift card amount."
"Please specify all the required information.","Please specify all the required information."
"Gift Card max amount is %1","Gift Card max amount is %1"
"Gift Card min amount is %1","Gift Card min amount is %1"
"Please specify a recipient name.","Please specify a recipient name."
"Please specify a sender name.","Please specify a sender name."
"Please specify a recipient email.","Please specify a recipient email."
"Please specify a sender email.","Please specify a sender email."
"Ordered","Bestilt"
"Invoiced","Fakturert"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>."
"Amount","Antall"
"To","Til"
"Treat Balance as Store Credit","Treat Balance as Store Credit"
"[GLOBAL]","[GLOBAL]"
"Use Config Settings","Bruk konfigurasjonsinnstillinger"
"Lifetime (days)","Lifetime (days)"
"Allow Message","Allow Message"
"[STORE VIEW]","[LAGERVISNING]"
"Email Template","E-post mal"
"All Websites [%1]","All Websites [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","Tilgjengelighet:"
"Out of stock","Ikke på lager"
"Choose an Amount...","Velg et antall..."
"Other Amount...","Annet Antall..."
"Amount in %1","Beløp i %1"
"Minimum","Minimum"
"Maximum","Maksimum"
"Sender Name","Avsenderens navn"
"Sender Email","Avsender e-post"
"Recipient Name","Mottaker navn"
"Recipient Email","Mottakerens e-post"
"Message","Beskjed"
"Maximum length of the message is %1 characters.","Maximum length of the message is %1 characters."
"Quantity","Antall"
"Website","Nettsted"
"Action","Handling"
"Delete Amount","Delete Amount"
"Delete","Slett"
"From","Fra"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maximum: %1"
"Availability","Tilgjengelighet"
"In stock","På lager"
"You've been sent a gift from %store_name","You've been sent a gift from %store_name"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases."
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Melding fra %sender_name:"
"Gift Cards","Gift Cards"
"Gift Card Email Settings","Gift Card Email Settings"
"Gift Card Notification Email Sender","Gift Card Notification Email Sender"
"Gift Card Notification Email Template","Gift Card Notification Email Template"
"Gift Card General Settings","Gift Card General Settings"
"Redeemable","Redeemable"
"If empty no expiration.","If empty no expiration."
"Allow Gift Message","Tillat gavemelding"
"Gift Message Maximum Length","Gavemelding maks lengde"
"Generate Gift Card Account when Order Item is","Generate Gift Card Account when Order Item is"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","Amount should be specified or Open Amount should be allowed"
