"Gift Card Information","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಮಾಹಿತಿ"
"Virtual","Virtual"
"Physical","Physical"
"Combined","Combined"
"Add Amount","ಮೊತ್ತ ಸೇರಿಸಿ"
"All Websites","ಎಲ್ಲಾ ಜಾಲತಾಣಗಳು"
"Gift Card Type","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ನ ವಿಧ"
"Gift Card Sender","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ರವಾನೆದಾರ"
"Gift Card Recipient","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಸ್ವೀಕೃತಿದಾರ"
"Gift Card Message","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಸಂದೇಶ"
"Gift Card Lifetime","Gift Card Lifetime"
"Yes","ಹೌದು"
"No","ಇಲ್ಲ"
"Gift Card Is Redeemable","Gift Card Is Redeemable"
"We cannot create this gift card.","ನಾವು ಈ ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಅನ್ನು ರಚಿಸಲಾಗುವುದಿಲ್ಲ."
"N/A","N/A"
"Gift Card Accounts","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಗಳು"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>."
"Amount should be specified or Open Amount should be allowed","Amount should be specified or Open Amount should be allowed"
"Duplicate amount found.","Duplicate amount found."
"Something went wrong while preparing the gift card.","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಅನು ಅಣಿಗೊಳುಸುವಲ್ಲಿ ಏನೋ ತೊಂದರೆಯಾಗಿದೆ."
"Please specify a gift card amount.","ದಯವಿಟ್ಟು ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಮೊತ್ತವನ್ನು ಸೂಚಿಸಿ."
"Please specify all the required information.","ದಯವಿಟ್ಟು ಎಲ್ಲಾ ಅಗತ್ಯವಿರುವ ಮಾಹಿತಿಯನ್ನು ಸೂಚಿಸಿ."
"Gift Card max amount is %1","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಗರಿಷ್ಟ ಮೊತ್ತ %1"
"Gift Card min amount is %1","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಕನಿಷ್ಟ ಮೊತ್ತ %1"
"Please specify a recipient name.","ದಯವಿಟ್ಟು ಸ್ವೀಕೃತಿದಾರರ ಹೆಸರನ್ನು ಸೂಚಿಸಿ."
"Please specify a sender name.","ದಯವಿಟ್ಟು ರವಾನೆದಾರರ ಹೆಸರನ್ನು ಸೂಚಿಸಿ."
"Please specify a recipient email.","ದಯವಿಟ್ಟು ಸ್ವೀಕೃತಿದಾರರ ಮಿಂಚೆಯನ್ನು ಸೂಚಿಸಿ."
"Please specify a sender email.","ದಯವಿಟ್ಟು ರವಾನೆದಾರರ ಮಿಂಚೆಯನ್ನು ಸೂಚಿಸಿ."
"Ordered","ವ್ಯಾಪಾರಾದೇಶಿಸಿದ"
"Invoiced","Invoiced"
"Amount","ಮೊತ್ತ"
"To","ಗೆ"
"Treat Balance as Store Credit","Treat Balance as Store Credit"
"[GLOBAL]","[GLOBAL]"
"Use Config Settings","Use Config Settings"
"Lifetime (days)","ಆಜೀವ ಪರ್ಯಂತ (ದಿನಗಳು)"
"Allow Message","ಸಂದೇಶ ಅನುಮತಿಸಿ"
"[STORE VIEW]","[STORE VIEW]"
"Email Template","ಮಿಂಚೆಯ ಮಾದರಿ"
"All Websites [%1]","All Websites [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","ಲಭ್ಯತೆ:"
"Out of stock","ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ"
"Choose an Amount...","ಮೊತ್ತವೊಂದನ್ನು ಆರಿಸಿ..."
"Other Amount...","ಇತರೆ ಮೊತ್ತ..."
"Amount in %1","%1 ರಲ್ಲಿ ಮೊತ್ತ"
"Minimum","ಕನಿಷ್ಟ"
"Maximum","ಗರಿಷ್ಟ"
"Sender Name","Sender Name"
"Sender Email","Sender Email"
"Recipient Name","Recipient Name"
"Recipient Email","Recipient Email"
"Message","Message"
"Maximum length of the message is %1 characters.","Maximum length of the message is %1 characters."
"Quantity","Quantity"
"Website","Website"
"Action","Action"
"Delete Amount","Delete Amount"
"Delete","Delete"
"From","From"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maximum: %1"
"Availability","Availability"
"In stock","In stock"
"You've been sent a gift from %store_name","You've been sent a gift from %store_name"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases."
"Gift Cards","Gift Cards"
"Gift Card Email Settings","Gift Card Email Settings"
"Gift Card Notification Email Sender","Gift Card Notification Email Sender"
"Gift Card Notification Email Template","Gift Card Notification Email Template"
"Gift Card General Settings","Gift Card General Settings"
"Redeemable","Redeemable"
"If empty no expiration.","If empty no expiration."
"Allow Gift Message","Allow Gift Message"
"Gift Message Maximum Length","Gift Message Maximum Length"
"Generate Gift Card Account when Order Item is","Generate Gift Card Account when Order Item is"
