"Gift Card Information","اطلاعات کارت هدیه"
"Virtual","مجازی"
"Physical","فیزیکی"
"Combined","ترکیب"
"Add Amount","افزودن مبلغ"
"All Websites","همه‌ی وب‌سایت‌ها"
"Gift Card Type","نوع کارت هدیه"
"Gift Card Sender","فرستنده کارت هدیه"
"Gift Card Recipient","گیرنده کارت هدیه"
"Gift Card Message","پیام کارت هدیه"
"Gift Card Lifetime","طول عمر کارت هدیه"
"Yes","بله"
"No","خیر"
"Gift Card Is Redeemable","کارت هدیه قابل بازخرید است"
"We cannot create this gift card.","ما نمی توانیم این کارت هدیه را ایجاد کنیم."
"N/A","هیچ"
"Gift Card Accounts","حساب کارت هدیه"
"Duplicate amount found.","مقدار تکراری پیدا شد."
"Something went wrong while preparing the gift card.","هنگام تهیه کارت هدیه خطایی رخ داده است."
"Please specify a gift card amount.","لطفا مبلغ کارت هدیه را مشخص کنید."
"Please specify all the required information.","لطفا تمام اطلاعات مورد نیاز را مشخص کنید."
"Gift Card max amount is %1","حداکثر مبلغ کارت هدیه %1 است"
"Gift Card min amount is %1","حداقل مبلغ کارت هدیه %1 است"
"Please specify a recipient name.","لطفا نام گیرنده را مشخص کنید."
"Please specify a sender name.","لطفا نام فرستنده را مشخص کنید."
"Please specify a recipient email.","لطفا یک ایمیل گیرنده مشخص کنید."
"Please specify a sender email.","لطفا یک ایمیل فرستنده مشخص کنید."
"Ordered","سفارش داده شده"
"Invoiced","فاکتور شده"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","برخی از حساب های کارت هدیه به درستی ایجاد نشدند. شما می توانید حساب های کارت هدیه را به صورت دستی از <a href=""%1"">اینجا</a> ایجاد کنید."
"Amount","مبلغ"
"To","به"
"Treat Balance as Store Credit","موجودی حساب را به عنوان اعتبار ذخیره کنید"
"[GLOBAL]","[سراسری]"
"Use Config Settings","استفاده از تنظیمات پیکربندی"
"Lifetime (days)","طول عمر (روز)"
"Allow Message","پیغام مجاز است"
"[STORE VIEW]","[مشاهده فروشگاه]"
"Email Template","قالب ایمیل"
"All Websites [%1]","تمام وب سایت ها [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","موجودی:"
"Out of stock","در انبار موجود نیست"
"Choose an Amount...","مبلغ را انتخاب کنید..."
"Other Amount...","مبلغ دیگر..."
"Amount in %1","مبلغ در %1"
"Minimum","حداقل"
"Maximum","حداکثر"
"Sender Name","نام فرستنده"
"Sender Email","ایمیل فرستنده"
"Recipient Name","نام گیرنده"
"Recipient Email","ایمیل گیرنده"
"Message","پیام"
"Maximum length of the message is %1 characters.","حداکثر طول پیغام %1 کاراکتر است."
"Quantity","تعداد"
"Website","وب سایت"
"Action","اقدام"
"Delete Amount","حذف مبلغ"
"Delete","حذف"
"From","از"
"Minimum: %1","حداقل: %1"
"Maximum: %1","حداکثر: %1"
"Availability","دسترسی"
"In stock","موجود"
"You've been sent a gift from %store_name","شما یک هدیه از %store_name دریافت کرده اید"
"%name,","%name"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender یک کارت هدیه برای شما جهت استفاده در <a href=""%store_url"">%store_name</a> ارسال کرده است و اکنون می توانید از این کارت هدبه برای خرید استفاده کنید."
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Cards","کارت های هدیه"
"Gift Card Email Settings","تنظیمات ایمیل کارت هدیه"
"Gift Card Notification Email Sender","فرستنده ایمیل اطلاعیه کارت هدیه"
"Gift Card Notification Email Template","قالب ایمیل اطلاعیه کارت هدیه"
"Gift Card General Settings","تنظیمات عمومی کارت هدیه"
"Redeemable","قابل بازخرید"
"If empty no expiration.","اگر خالی باشد منقضی نمی شود."
"Allow Gift Message","پیغام هدیه مجاز است"
"Gift Message Maximum Length","حداکثر طول پیغام هدیه"
"Generate Gift Card Account when Order Item is","در این سفارش، مبلغ کارت هدیه را تولید کن"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","Amount should be specified or Open Amount should be allowed"
