"Gift Card Information","Informace o dárkovém poukazu"
"Virtual","Virtuální"
"Physical","Physical"
"Combined","Kombinované"
"Add Amount","Přidat množství"
"All Websites","Všechny weby"
"Gift Card Type","Typ dárkového poukazu"
"Gift Card Sender","Odesílatel dárkového poukazu"
"Gift Card Recipient","Příjemce dárkového poukazu"
"Gift Card Message","Vzkaz k dárkovému poukazu"
"Gift Card Lifetime","Délka platnosti dárkového poukazu"
"Yes","Ano"
"No","Ne"
"Gift Card Is Redeemable","Gift Card Is Redeemable"
"We cannot create this gift card.","We cannot create this gift card."
"N/A","nedefinováno"
"Gift Card Accounts","Gift Card Accounts"
"Duplicate amount found.","Duplicate amount found."
"Something went wrong while preparing the gift card.","Something went wrong while preparing the gift card."
"Please specify a gift card amount.","Please specify a gift card amount."
"Please specify all the required information.","Please specify all the required information."
"Gift Card max amount is %1","Gift Card max amount is %1"
"Gift Card min amount is %1","Gift Card min amount is %1"
"Please specify a recipient name.","Zadejte jméno příjemce."
"Please specify a sender name.","Please specify a sender name."
"Please specify a recipient email.","Zadejte příjemce e-mailu."
"Please specify a sender email.","Please specify a sender email."
"Ordered","Objednáno"
"Invoiced","Fakturováno"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>."
"Amount","Množství"
"To","Pro"
"Treat Balance as Store Credit","Treat Balance as Store Credit"
"[GLOBAL]","[GLOBÁLNÍ]"
"Use Config Settings","Použít nastavení konfigurace"
"Lifetime (days)","Lifetime (days)"
"Allow Message","Allow Message"
"[STORE VIEW]","[ZOBRAZENÍ]"
"Email Template","Šablona e-mailu"
"All Websites [%1]","All Websites [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","Dostupnost:"
"Out of stock","Není skladem"
"Choose an Amount...","Choose an Amount..."
"Other Amount...","Jiné množství..."
"Amount in %1","Amount in %1"
"Minimum","Minimum"
"Maximum","Maximum"
"Sender Name","Jméno odesílatele"
"Sender Email","E-mail odesílatele"
"Recipient Name","Jméno příjemce"
"Recipient Email","E-mail příjemce"
"Message","Zpráva"
"Maximum length of the message is %1 characters.","Maximum length of the message is %1 characters."
"Quantity","Množství"
"Website","Webová stránka"
"Action","Akce"
"Delete Amount","Delete Amount"
"Delete","Smazat"
"From","Od"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Minimum: %1"
"Availability","Dostupnost"
"In stock","Skladem"
"You've been sent a gift from %store_name","You've been sent a gift from %store_name"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases."
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Cards","Dárkové poukazy"
"Gift Card Email Settings","Gift Card Email Settings"
"Gift Card Notification Email Sender","Gift Card Notification Email Sender"
"Gift Card Notification Email Template","Gift Card Notification Email Template"
"Gift Card General Settings","Obecné nastavení dárkových poukazů"
"Redeemable","Redeemable"
"If empty no expiration.","If empty no expiration."
"Allow Gift Message","Povolit dárkový vzkaz"
"Gift Message Maximum Length","Gift Message Maximum Length"
"Generate Gift Card Account when Order Item is","Generate Gift Card Account when Order Item is"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","Amount should be specified or Open Amount should be allowed"
