"Gift Card Information","Πληροφορίες Δωροκάρτας"
"Virtual","Εικονικό"
"Physical","Φυσικά χαρακτηριστικά"
"Combined","Σε Συνδυασμό"
"Add Amount","Προσθήκη Ποσότητας"
"All Websites","Όλες οι Ιστοσελίδες"
"Gift Card Type","Τύπος Δωροκάρτας"
"Gift Card Sender","Αποστολέας Δωροκάρτας"
"Gift Card Recipient","Παραλήπτης Δωροκάρτας"
"Gift Card Message","Mήνυμα Δωροκάρτας"
"Gift Card Lifetime","Διάρκεια ζωής της δωροκάρτας"
"Yes","Ναί"
"No","Όχι"
"Gift Card Is Redeemable","Η Δωροκάρτα είναι εξαγοράσιμη"
"We cannot create this gift card.","Δεν μπορούμε να δημιουργήσουμε αυτή την δωροκάρτα."
"N/A","Μ/Δ Μή Διαθέσιμο"
"Gift Card Accounts","Λογαριασμοί Δωροκάρτας"
"Duplicate amount found.","Διπλότυπο Ποσό βρέθηκε."
"Something went wrong while preparing the gift card.","Κάτι πήγε στραβά κατά την προετοιμασία τη δωροκάρτας."
"Please specify a gift card amount.","Παρακαλείστε να προσδιορίσετε ένα ποσό δωροκάρτας."
"Please specify all the required information.","Παρακαλείστε να προσδιορίσετε όλες τις απαιτούμενες πληροφορίες."
"Gift Card max amount is %1","Μεγ. ποσό Δωροκάρτας είναι %1"
"Gift Card min amount is %1","Ελαχ. ποσό Δωροκάρτας είναι %1"
"Please specify a recipient name.","Καθορίστε ένα όνομα του παραλήπτη."
"Please specify a sender name.","Καθορίστε ένα όνομα αποστολέα."
"Please specify a recipient email.","Παρακαλώ προσδιορίστε έναν παραλήπτη email."
"Please specify a sender email.","Παρακαλώ προσδιορίστε έναν αποστολέα email."
"Ordered","Παραγγέλθηκαν"
"Invoiced","Τιμολογημένα"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Ορισμένοι λογαριασμοί δωροκάρτας δεν δημιουργήθηκαν σωστά. Μπορείτε να δημιουργήσετε λογαριασμούς δωροκάρτας με μη αυτόματο τρόπο <a href=""%1"">εδώ</a>."
"Amount","Ποσό"
"To","Έως"
"Treat Balance as Store Credit","Μεταχείριση Υπόλοιπου ως Κατάστημα Πίστωσης"
"[GLOBAL]","[ΚΑΘΟΛΙΚΟ]"
"Use Config Settings","Χρήση Ρυθμίσεων Παραμέτρων"
"Lifetime (days)","Διάρκεια ζωής (ημέρες)"
"Allow Message","Επιτρέψτε μήνυμα"
"[STORE VIEW]","[ΠΡΟΒΟΛΗ ΚΑΤΑΣΤΗΜΑΤΟΣ]"
"Email Template","Πρότυπο Email"
"All Websites [%1]","Όλες οι ιστοσελίδες [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","Διαθεσιμότητα:"
"Out of stock","Εξαντλημένο"
"Choose an Amount...","Επιλέξτε ένα Ποσό..."
"Other Amount...","Άλλο Ποσό..."
"Amount in %1","Ποσό σε %1"
"Minimum","Ελάχιστο"
"Maximum","Μέγιστο"
"Sender Name","Όνομα αποστολέα"
"Sender Email","Email αποστολέα"
"Recipient Name","Όνομα παραλήπτη"
"Recipient Email","Email Παραλήπτη"
"Message","Μήνυμα"
"Maximum length of the message is %1 characters.","Μέγιστο μήκος του μηνύματος είναι %1 χαρακτήρες."
"Quantity","Ποσότητα"
"Website","Ιστοσελίδα"
"Action","Ενέργεια"
"Delete Amount","Διαγραφή Ποσού"
"Delete","Διαγραφή"
"From","Από"
"Minimum: %1","Ελάχιστο: %1"
"Maximum: %1","Μέγιστη: %1"
"Availability","Διαθεσιμότητα"
"In stock","Σε απόθεμα"
"You've been sent a gift from %store_name","Σας έχει αποσταλεί ένα δώρο από %store_name"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","Ο %sender σας έστειλε μία δωροκάρτα για χρήση στο <a href=""%store_url"">%store_name</a> και τώρα είναι έτοιμη να χρησιμοποιηθεί για αγορές."
"Gift Card Codes:","Κωδικοί Δωροκάρτας:"
"Gift Card Code:","Κωδικός Δωροκάρτας:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Κάθε κάρτα έχει μια υπόλοιπο των %balance που μπορεί να χρησιμοποιηθεί στο <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Η κάρτα έχει μια ισορροπία των %balance που μπορεί να χρησιμοποιηθεί στο <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Κάντε κλικ στους πάνω κωδικούς για να τους εξαργυρώσετε στο Κατάστημα Πίστωσης."
"Message from %sender_name:","Μήνυμα από %sender_name:"
"Gift Cards","Δωροκάρτες"
"Gift Card Email Settings","Ρυθμίσεις Email Δωροκάρτας"
"Gift Card Notification Email Sender","Αποστολέας Ειδοποίησης Email Δωροκάρτας"
"Gift Card Notification Email Template","Πρότυπο Email Ειδοποίησης Δωροκάρτας"
"Gift Card General Settings","Γενικές Ρυθμίσεις της Δωροκάρτας"
"Redeemable","Εξαγοράσιμες"
"If empty no expiration.","Αν είναι κενό χωρίς περιορισμό λήξης."
"Allow Gift Message","Επιτρέψτε Μήνυμα Δώρου"
"Gift Message Maximum Length","Μέγιστο μήκος μηνύματος δώρου"
"Generate Gift Card Account when Order Item is","Δημιουργία Λογαριασμού Δωροκάρτας όταν το Είδος Παραγγελίας είναι"
"Messaging and Lifetime","Μηνύματα και Διάρκεια ζωής"
"Amount should be specified or Open Amount should be allowed","Το Ποσό πρέπει να καθοριστεί ή Ανοιχτό Ποσό πρέπει να επιτραπεί"
