"Gift Card Information","Информация за подаръчен ваучер"
"Virtual","Виртуален"
"Physical","Физически"
"Combined","Комбиниран"
"Add Amount","Добави сума"
"All Websites","Всички уеб сайтове"
"Gift Card Type","Тип подаръчен ваучер"
"Gift Card Sender","Подател на подаръчен ваучер"
"Gift Card Recipient","Получател на подаръчен ваучер"
"Gift Card Message","Съобщение на подаръчен ваучер"
"Gift Card Lifetime","Валидност на подаръчен ваучер"
"Yes","Да"
"No","Не"
"Gift Card Is Redeemable","Подаръчния ваучер може да се откупва"
"We cannot create this gift card.","Не може да създаде този подаръчен ваучер."
"N/A","Не е достъпно"
"Gift Card Accounts","Сметки на подаръчен ваучер"
"Duplicate amount found.","Намерена дублирана сума."
"Something went wrong while preparing the gift card.","Нещо се обърка при подготовката на подаръчен ваучер."
"Please specify a gift card amount.","Задайте сума на подаръчен ваучер."
"Please specify all the required information.","Моля, посочете цялата необходима информация."
"Gift Card max amount is %1","Максималната сума на подаръчен ваучер е %1"
"Gift Card min amount is %1","Минималната сума на подаръчния ваучер е %1"
"Please specify a recipient name.","Моля, посочете името на получателя."
"Please specify a sender name.","Задайте име на подател."
"Please specify a recipient email.","Задайте имейл на получател."
"Please specify a sender email.","Моля, посочете имейл на подателя."
"Ordered","Поръчан"
"Invoiced","Фактурирани"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Някои профили за подаръчни ваучери не са създадени правилно. Можете да създавате профили за подаръчни ваучери ръчно <a href=""%1""> тук</a>."
"Amount","Сума"
"To","До"
"Treat Balance as Store Credit","Третирай баланса като кредит към магазина"
"[GLOBAL]","[Глобален]"
"Use Config Settings","Използвай настройките на конфигурацията"
"Lifetime (days)","Живот (дни)"
"Allow Message","Позволи съобщение"
"[STORE VIEW]","[Изглед Магазин]"
"Email Template","Шаблон на имейл"
"All Websites [%1]","Всички уеб сайтове [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","Наличност:"
"Out of stock","Изчерпано количество"
"Choose an Amount...","Изберете сума..."
"Other Amount...","Други сума..."
"Amount in %1","Сумата в %1"
"Minimum","Минимум"
"Maximum","Максимум"
"Sender Name","Име на подателя"
"Sender Email","Подател имейл"
"Recipient Name","Име на получателя"
"Recipient Email","Имейл на получателя"
"Message","Съобщение"
"Maximum length of the message is %1 characters.","Максималната дължина на съобщението е %1 знака."
"Quantity","Количество: "
"Website","Уебсайт"
"Action","Действие"
"Delete Amount","Изтриване на сума"
"Delete","Изтрий"
"From","От"
"Minimum: %1","Минимум: %1"
"Maximum: %1","Максимум: %1"
"Availability","Наличност"
"In stock","На склад"
"You've been sent a gift from %store_name","Изпратен ви е подарък от %store_name"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender ви е изпратил подаръчен ваучер за ползване в <a href=""%store_url""> %store_name</a> и сега е готов да се използва за покупки."
"Gift Card Codes:","Подаръчен ваучер кодове:"
"Gift Card Code:","Код за подаръчен ваучер:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Всеки ваучер има баланс  от %balance, които могат да бъдат използвани в <a href=""%store_url""> %store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Ваучера има баланс на %balance, който може да бъде използван в <a href=""%store_url""> %store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Щракнете върху кодовете по-горе за да ги изкупите като кредити от магазина."
"Message from %sender_name:","Съобщение от %sender_name:"
"Gift Cards","Подаръчни ваучери"
"Gift Card Email Settings","Подаръчен ваучер имейл настройки"
"Gift Card Notification Email Sender","Уведомяване на  имейл подател на подаръчен ваучер"
"Gift Card Notification Email Template","Уведомителен имейл шаблон за подаръчен ваучер"
"Gift Card General Settings","Общи настройки на подаръчен ваучер"
"Redeemable","Възобновяем"
"If empty no expiration.","Ако е празно няма срок на валидност."
"Allow Gift Message","Позволи съобщение подарък"
"Gift Message Maximum Length","Подарък съобщение максимална дължина"
"Generate Gift Card Account when Order Item is","Генерира сметка за подаръчен ваучер, когато поръчания елемент е"
"Messaging and Lifetime","Съобщения и живот"
"Amount should be specified or Open Amount should be allowed","Количеството трябва да е посочено или Отворено количество трябва да е разрешено"
