"Gift Card Information","Ajándékkártya információk"
"Virtual","Virtuális"
"Physical","Fizikai"
"Combined","Kombinált"
"Add Amount","Összeg megadása"
"All Websites","Minden honlap"
"Gift Card Type","Ajándék kártya típusa"
"Gift Card Sender","Ajándék kártya feladó"
"Gift Card Recipient","Ajándék kártya címzett"
"Gift Card Message","Ajándékkártya üzenet"
"Gift Card Lifetime","Ajándék kártya élettartama"
"Yes","Igen"
"No","Nem "
"Gift Card Is Redeemable","Az Ajándékkártya beváltható"
"We cannot create this gift card.","Nem hozható létre ajándékkártya."
"N/A","N/A"
"Gift Card Accounts","Ajándékkártya fiókok"
"Duplicate amount found.","Ismétlődő összeg található."
"Something went wrong while preparing the gift card.","Hiba történt az ajándékkártya előkészítése közben."
"Please specify a gift card amount.","Adjon meg az ajándékkártya értékét."
"Please specify all the required information.","Kérjük, adjon meg minden szükséges adatot."
"Gift Card max amount is %1","Ajándékkártya maximális összege %1"
"Gift Card min amount is %1","Ajándékkártya minimális összege %1"
"Please specify a recipient name.","Adja meg a címzett nevét."
"Please specify a sender name.","Adja meg a feladó nevét."
"Please specify a recipient email.","Adja meg a címzett email címét."
"Please specify a sender email.","Adja meg a feladó email címét."
"Ordered","Megrendelt"
"Invoiced","Számlázott"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Némely ajándékkártya fiók nem megfelelően jött létre. <a href=""%1"">Itt manuálisan</a> is létrehozhatja őket."
"Amount","Összeg"
"To","Eddig"
"Treat Balance as Store Credit","Egyenleg kezelése bolti hitelként"
"[GLOBAL]","[GLOBAL]"
"Use Config Settings","Konfigurációs beállítások használata"
"Lifetime (days)","Élettartam (nap)"
"Allow Message","Üzenet engedélyezése"
"[STORE VIEW]","[BOLT NÉZET]"
"Email Template","Email sablon"
"All Websites [%1]","Minden honlap [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","Elérhetőség:"
"Out of stock","Nincs raktáron"
"Choose an Amount...","Válasszon összeget..."
"Other Amount...","Egyéb összeg..."
"Amount in %1","Összeg %1 valutában"
"Minimum","Legalább"
"Maximum","Legfeljebb"
"Sender Name","Feladó neve"
"Sender Email","Küldő email címe"
"Recipient Name","Kedvezményezett neve"
"Recipient Email","Kedvezményezett e-mail címe"
"Message","Üzenet"
"Maximum length of the message is %1 characters.","Az üzenet legfeljebb %1 karakter hosszú lehet."
"Quantity","Mennyiség"
"Website","Honlap"
"Action","Akció"
"Delete Amount","Összeg törlése"
"Delete","Törlés"
"From","Ettől"
"Minimum: %1","Legalább: %1"
"Maximum: %1","Legfeljebb: %1"
"Availability","Elérhetőség"
"In stock","Raktáron"
"You've been sent a gift from %store_name","Ön küldött egy ajándékkártyát a %store_name webáruházból"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender küldött önnek egy ajándékkártyát, amit a <a href=""%store_url"">%store_name</a> webáruházban akár azonnal is levásárolhat."
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Cards","Ajándékkártya"
"Gift Card Email Settings","Ajándékkártya E-mail beállítások"
"Gift Card Notification Email Sender","Ajándék kártya értesítő E-mail feladója"
"Gift Card Notification Email Template","Ajándék kártya értesítő E-mail sablon"
"Gift Card General Settings","Ajándékkártya általános beállítások"
"Redeemable","Beválthatóság"
"If empty no expiration.","Ha üres, nincs lejárati idő."
"Allow Gift Message","Ajándéküzenet engedélyezése"
"Gift Message Maximum Length","Ajándék üzenet maximális hossza"
"Generate Gift Card Account when Order Item is","Ajándékkártya fiók generálása, ha a rendelt termék"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","Az összeget meg kell adni, vagy a nyitott összeget kell engedélyezni"
