"Gift Card Information","Cadeau kaartinformatie"
"Virtual","Virtuele"
"Physical","Fysiek"
"Combined","Gecombineerd"
"Add Amount","Bedrag toevoegen"
"All Websites","Alle Websites"
"Gift Card Type","Cadeau kaarttype"
"Gift Card Sender","Cadeau kaart afzender"
"Gift Card Recipient","Geadresseerde van cadeau-kaart"
"Gift Card Message","Cadeau kaart bericht"
"Gift Card Lifetime","Cadeaubon geldig tot:"
"Yes","Ja"
"No","Nee"
"Gift Card Is Redeemable","Cadeaubon is inwisselbaar"
"We cannot create this gift card.","We kunnen deze cadeaubon niet aanmaken."
"N/A","n.v.t."
"Gift Card Accounts","Cadeaubon Accounts"
"Duplicate amount found.","Duplicaat bedrag gevonden"
"Something went wrong while preparing the gift card.","Er ging iets mis bij het aanmaken van de cadeaubon."
"Please specify a gift card amount.","Geef een bedrag voor de cadeaubon op."
"Please specify all the required information.","Geef alle vereiste informatie op."
"Gift Card max amount is %1","Maximum bedrag voor de cadeaubon is %1"
"Gift Card min amount is %1","Minimale bedrag voor de cadeaubon is %1"
"Please specify a recipient name.","Geef de geadresseerde's naam op."
"Please specify a sender name.","Geef de naam van de afzender op."
"Please specify a recipient email.","Geef de geadresseerde's e-mailadres op."
"Please specify a sender email.","Geef een afzender e-mailadres op."
"Ordered","Besteld"
"Invoiced","Gefactureerd"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Een aantal cadeaubon rekeningen werden niet aangemaakt. Je kan <a href=""%1"">hier</a> manueel cadeaubon rekeningen aanmaken."
"Amount","Aantal"
"To","Aan"
"Treat Balance as Store Credit","Is het saldo gelijk aan de winkel saldo"
"[GLOBAL]","[GLOBAAL]"
"Use Config Settings","Gebruik configuratiewaarden"
"Lifetime (days)","Levensduur (dagen)"
"Allow Message","Bericht toestaan"
"[STORE VIEW]","[WINKELAANZICHT]"
"Email Template","E-mail template"
"All Websites [%1]","Alle Websites [%1]"
"%1 [%2]","%1 %2"
"Availability:","Beschikbaarheid:"
"Out of stock","Niet op voorraad"
"Choose an Amount...","Kies een bedrag..."
"Other Amount...","Andere bedrag..."
"Amount in %1","Bedrag in %1"
"Minimum","Minimum"
"Maximum","Maximum"
"Sender Name","Naam afzender"
"Sender Email","E-mailadres Afzender"
"Recipient Name","Naam geadresseerde"
"Recipient Email","E-mail van ontvanger"
"Message","Bericht"
"Maximum length of the message is %1 characters.","Maximale lengte van het bericht is %1 tekens."
"Quantity","Aantal"
"Website","Website"
"Action","Actie"
"Delete Amount","Bedrag verwijderen"
"Delete","Verwijder"
"From","Van"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maximale: %1"
"Availability","Beschikbaarheid"
"In stock","Op voorraad"
"You've been sent a gift from %store_name","U heeft een cadeau ontvangen van %store_name"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender heeft u een cadeaukaart gestuurd voor gebruik op <a href=""%store_url"">%store_name</a> en deze kan nu gebruikt worden voor aankopen."
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Cards","Cadeaubonnen"
"Gift Card Email Settings","Cadeaubon email instellingen"
"Gift Card Notification Email Sender","Afzender Cadeaubon Notificatie E-mail"
"Gift Card Notification Email Template","Cadeaubon melding email sjabloon"
"Gift Card General Settings","Cadeaubon algemene instellingen"
"Redeemable","Inwisselbaar"
"If empty no expiration.","Als leeg geen vervaldatum."
"Allow Gift Message","Cadeau bericht toestaan"
"Gift Message Maximum Length","Cadeaubericht maximale lengte"
"Generate Gift Card Account when Order Item is","Maak rekening cadeaubon aan indien het dit bestelde product is"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","Bedrag moet worden opgegeven of Open bedrag moet worden toegestaan"
