"Gift Card Information","Informacije o poklon kartici"
"Virtual","Virtualno"
"Physical","Fizički"
"Combined","Kombinovano"
"Add Amount","Dodaj iznos"
"All Websites","Sve Web lokacije"
"Gift Card Type","Vrsta poklon kartice"
"Gift Card Sender","Pošiljalac poklon kartice"
"Gift Card Recipient","Primaoc poklon kartice"
"Gift Card Message","Poruka za Poklon Karticu"
"Gift Card Lifetime","Poklon Kartica validnost"
"Yes","Da"
"No","Ne"
"Gift Card Is Redeemable","Poklon kartica je otkupljiva"
"We cannot create this gift card.","Ne možemo napraviti ovu poklon karticu."
"N/A","N/A - nije dostupno"
"Gift Card Accounts","Nalog Poklon Kartice"
"Duplicate amount found.","Duplirani iznos je pronađen."
"Something went wrong while preparing the gift card.","Došlo je do greške prilikom pripremanja poklon kartice."
"Please specify a gift card amount.","Molimo navedite iznos poklon kartice."
"Please specify all the required information.","Molimo navedite sve tražene informacije."
"Gift Card max amount is %1","Maksimalni iznos poklon kartice je %1"
"Gift Card min amount is %1","Minimalni iznos Poklon Kartice je %1"
"Please specify a recipient name.","Molimo navedite naziv primaoca."
"Please specify a sender name.","Molimo navedite ime pošiljaoca."
"Please specify a recipient email.","Molimo navedite primaoca mejla."
"Please specify a sender email.","Molimo navedite ime pošiljaoca mejla."
"Ordered","Porućeno"
"Invoiced","Faktura"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Neki računi poklon kartica nisu pravilno napravljeni. Račune za poklon kartice možete da kreirate ručno <a href=""%1"">ovde</a>."
"Amount","Iznos"
"To","Do"
"Treat Balance as Store Credit","Tretirajte bilans kao kredit za trgovinu"
"[GLOBAL]","[GLOBAL]"
"Use Config Settings","Koristi konfiguraciona podešavanja"
"Lifetime (days)","Vreme trajanja (dani)"
"Allow Message","Dozvoli Poruku"
"[STORE VIEW]","[PRIKAZ PRODAVNICE]"
"Email Template","Email šabloni"
"All Websites [%1]","Svi Veb Sajtovi [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","Dostupnost:"
"Out of stock","Nema na lageru"
"Choose an Amount...","Izaberite Iznos..."
"Other Amount...","Drugi Iznos..."
"Amount in %1","Iznos u %1"
"Minimum","Minimum"
"Maximum","Maksimum"
"Sender Name","Ime pošaljioca"
"Sender Email","Email pošaljioca"
"Recipient Name","Ime Primaoca"
"Recipient Email","Mejl Primaoca"
"Message","Poruka"
"Maximum length of the message is %1 characters.","Maksimalna dužina poruke je %1 karaktera."
"Quantity","Količina"
"Website","Web sajt"
"Action","Akcija"
"Delete Amount","Obriši Iznos"
"Delete","Obrisati"
"From","Od"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maksimum: %1"
"Availability","Dostupnost"
"In stock","Na stanju"
"You've been sent a gift from %store_name","Poslat vam je poklon iz %store_name"
"%name,","%naziv,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases."
"Gift Card Codes:","Kodovi Poklon Kartice:"
"Gift Card Code:","Kod Poklon Kartice:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Cards","Poklon kartice"
"Gift Card Email Settings","Podešavanje e-mejla Poklon Kartice"
"Gift Card Notification Email Sender","Gift Card Notification Email Sender"
"Gift Card Notification Email Template","Gift Card Notification Email Template"
"Gift Card General Settings","Opšta podešavanja poklon kartica"
"Redeemable","Otkupljiv"
"If empty no expiration.","Ako je prazno nema isteka."
"Allow Gift Message","Dozvoli Poklon Poruku"
"Gift Message Maximum Length","Gift Message Maximum Length"
"Generate Gift Card Account when Order Item is","Generate Gift Card Account when Order Item is"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","Iznos mora biti definisan ili Otvoreni Iznos mora biti dozvoljen"
