"Gift Card Information","informacje o karcie podarunkowej"
"Virtual","Wirtualny"
"Physical","Fizyczne"
"Combined","Łącznie"
"Add Amount","Dodaj kwotę"
"All Websites","Wszystkie witryny"
"Gift Card Type","Rodzaj karty podarunkowej"
"Gift Card Sender","Nadawca karty podarunkowej"
"Gift Card Recipient","Odbiorca karty podarunkowej"
"Gift Card Message","Wiadomość dołączona do karty podarunkowej"
"Gift Card Lifetime","Okres ważności karty podarunkowej"
"Yes","Tak"
"No","Nie"
"Gift Card Is Redeemable","Karta podarunkowa jest wymienialna"
"We cannot create this gift card.","Nie możemy utworzyć karty podarunkowej."
"N/A","N/D"
"Gift Card Accounts","Konta Gift Card"
"Duplicate amount found.","Znaleziono zdubplikowaną wartość."
"Something went wrong while preparing the gift card.","Wystąpił błąd w trakcie tworzenia karty podarunkowej."
"Please specify a gift card amount.","Proszę podać kwotę karty podarunkowej."
"Please specify all the required information.","Proszę podać wszystkie wymagane informacje."
"Gift Card max amount is %1","Maksymalna kwota karty podarunkowej to: %1"
"Gift Card min amount is %1","Minimalna kwota karty podarunkowej to: %1"
"Please specify a recipient name.","Proszę podać nazwę odbiorcy."
"Please specify a sender name.","Proszę podać nazwę nadawcy."
"Please specify a recipient email.","Proszę podać adres e-mail odbiorcy."
"Please specify a sender email.","Proszę podać adres e-mail nadawcy."
"Ordered","Zamówień"
"Invoiced","Zafakturowane"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Część kart podarunkowych nie została utworzona poprawnie. Możesz utworzyć je ręcznie <a href=""%1"">tutaj</a>."
"Amount","Kwota"
"To","Do"
"Treat Balance as Store Credit","Traktowanie bilansu jako kredyt sklepu"
"[GLOBAL]","[GLOBALNY]"
"Use Config Settings","Używaj ustawienia z konfiguracji"
"Lifetime (days)","Okres ważności (dni)"
"Allow Message","Pozwól na wysłanie wiadomości"
"[STORE VIEW]","[WIDOK SKLEPU]"
"Email Template","Szablon e-mail"
"All Websites [%1]","Wszystkie strony %1"
"%1 [%2]","%1[%2]"
"Availability:","Dostępność:"
"Out of stock","Brak w magazynie"
"Choose an Amount...","Wybierz kwotę..."
"Other Amount...","Inna kwota..."
"Amount in %1","Kwota w %1"
"Minimum","Minimum"
"Maximum","Maksimum"
"Sender Name","Nazwa nadawcy"
"Sender Email","E-mail nadawcy"
"Recipient Name","Nazwa odbiorcy"
"Recipient Email","E-mail odbiorcy"
"Message","Wiadomość"
"Maximum length of the message is %1 characters.","Wiadomość może zawierać maksymalna %1 znaków."
"Quantity","Ilość"
"Website","Witryna"
"Action","Operacja"
"Delete Amount","Usuń kwotę"
"Delete","Usuń"
"From","Od"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maksimum: %1"
"Availability","Dostępność"
"In stock","W magazynie"
"You've been sent a gift from %store_name","Dostałeś prezent od %store_name"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender wysłał kartę podarunkową do użycia tu <a href=""%store_url"">%store_name</a> i jest gotowa do wykorzystania na zakupy."
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Cards","Karty podarunkowe"
"Gift Card Email Settings","Ustawienia e-mail konta Gift Card"
"Gift Card Notification Email Sender","Nadawca wiadomości e-mail o karcie podarunkowej"
"Gift Card Notification Email Template","Szablon wiadomości e-mail informującej o karcie podarunkowej"
"Gift Card General Settings","Ustawienia ogólne konta Gift Card"
"Redeemable","Wymienialna"
"If empty no expiration.","Jeśli puste bezterminowo."
"Allow Gift Message","Pozwól na wysłanie wiadomości"
"Gift Message Maximum Length","Maksymalna długość wiadomości dołączonej do karty podarunkowej"
"Generate Gift Card Account when Order Item is","Generowanie konta Gift Card , gdy zamówienie jest"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","Amount should be specified or Open Amount should be allowed"
