"Gift Card Information","معلومات بطاقة هدية"
"Virtual","مرئي"
"Physical","مادية"
"Combined","مدمجة"
"Add Amount","إضافة مبلغ"
"All Websites","جميع المواقع"
"Gift Card Type","نوع بطاقة الهدايا"
"Gift Card Sender","مرسل بطاقة الهدايا"
"Gift Card Recipient","Gift Card Recipient"
"Gift Card Message","Gift Card Message"
"Gift Card Lifetime","Gift Card Lifetime"
"Yes","نعم"
"No","لا"
"Gift Card Is Redeemable","Gift Card Is Redeemable"
"We cannot create this gift card.","We cannot create this gift card."
"N/A","غير متاح"
"Gift Card Accounts","حسابات بطاقة هدية"
"Duplicate amount found.","Duplicate amount found."
"Something went wrong while preparing the gift card.","حدث خطأ في إعداد بطاقة الهدية."
"Please specify a gift card amount.","Please specify a gift card amount."
"Please specify all the required information.","يرجى تحديد جميع المعلومات المطلوبة."
"Gift Card max amount is %1","Gift Card max amount is %1"
"Gift Card min amount is %1","Gift Card min amount is %1"
"Please specify a recipient name.","Please specify a recipient name."
"Please specify a sender name.","Please specify a sender name."
"Please specify a recipient email.","Please specify a recipient email."
"Please specify a sender email.","Please specify a sender email."
"Ordered","تم الطلب"
"Invoiced","فاتورة"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>."
"Amount","الكمية"
"To","إلى"
"Treat Balance as Store Credit","Treat Balance as Store Credit"
"[GLOBAL]","[عام]"
"Use Config Settings","استخدام اعداد الاعدادات"
"Lifetime (days)","Lifetime (days)"
"Allow Message","Allow Message"
"[STORE VIEW]","[عرض المتجر]"
"Email Template","قالب البريد الإلكتروني"
"All Websites [%1]","All Websites [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","متوفر:"
"Out of stock","غير متوفر بالمخزن"
"Choose an Amount...","Choose an Amount..."
"Other Amount...","Other Amount..."
"Amount in %1","Amount in %1"
"Minimum","الحد الادنى"
"Maximum","الحد الاقصى"
"Sender Name","اسم المرسل"
"Sender Email","البريد الإلكتروني للمرسل"
"Recipient Name","اسم المستلم"
"Recipient Email","البريد الإلكتروني للمستلم"
"Message","رسالة"
"Maximum length of the message is %1 characters.","Maximum length of the message is %1 characters."
"Quantity","الكمية"
"Website","الموقع"
"Action","إجراء"
"Delete Amount","Delete Amount"
"Delete","احذف"
"From","من"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maximum: %1"
"Availability","التوفر"
"In stock","متوفر"
"You've been sent a gift from %store_name","You've been sent a gift from %store_name"
"%name,","%name،"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases."
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Cards","Gift Cards"
"Gift Card Email Settings","Gift Card Email Settings"
"Gift Card Notification Email Sender","Gift Card Notification Email Sender"
"Gift Card Notification Email Template","Gift Card Notification Email Template"
"Gift Card General Settings","Gift Card General Settings"
"Redeemable","Redeemable"
"If empty no expiration.","If empty no expiration."
"Allow Gift Message","السماح برسالة هدية"
"Gift Message Maximum Length","Gift Message Maximum Length"
"Generate Gift Card Account when Order Item is","Generate Gift Card Account when Order Item is"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","Amount should be specified or Open Amount should be allowed"
