"Gift Card Information","Informações de cartão-presente"
"Virtual","Virtual"
"Physical","Físico"
"Combined","Combinado"
"Add Amount","Adicionar Quantidade"
"All Websites","Todos os Sites"
"Gift Card Type","Tipo de Cartão-Presente"
"Gift Card Sender","Remetente do Cartão de Oferta"
"Gift Card Recipient","Destinatário do Cartão-Presente"
"Gift Card Message","Mensagem do Cartão de Oferta"
"Gift Card Lifetime","Validade do Cartão de Oferta"
"Yes","Sim"
"No","Não"
"Gift Card Is Redeemable","Cartão-Presente é Resgatável"
"We cannot create this gift card.","Não podemos criar este cartão-presente."
"N/A","N/D"
"Gift Card Accounts","Contas do Cartão de Oferta"
"Duplicate amount found.","Quantidade em duplicado encontrada."
"Something went wrong while preparing the gift card.","Algo correu mal durante a emissão do cartão de oferta."
"Please specify a gift card amount.","Por favor especifique um valor para o cartão de oferta."
"Please specify all the required information.","Por favor especifique todas as informações necessárias."
"Gift Card max amount is %1","O valor máx para o Cartão de Oferta é %1"
"Gift Card min amount is %1","O valor min para o Cartão de Oferta é %1"
"Please specify a recipient name.","Por favor, especifique um nome de destinatário."
"Please specify a sender name.","Por favor, especifique um nome de remetente."
"Please specify a recipient email.","Por favor, especifique um email de destinatário."
"Please specify a sender email.","Por favor especifique o email do remetente."
"Ordered","Encomendada"
"Invoiced","Faturada"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Algumas contas de cartão de oferta não foram criadas corretamente. Pode criar contas de cartão de oferta manualmente <a href=""%1"">aqui</a>."
"Amount","Valor"
"To","Para"
"Treat Balance as Store Credit","Tratar o Saldo como Crédito de Loja"
"[GLOBAL]","[GLOBAL]"
"Use Config Settings","Usar Definições de Configuração"
"Lifetime (days)","Tempo de Vida (dias)"
"Allow Message","Permitir Mensagem"
"[STORE VIEW]","[VISTA DE LOJA]"
"Email Template","Template de Email"
"All Websites [%1]","Todos os Sites [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","Disponibilidade:"
"Out of stock","Esgotado"
"Choose an Amount...","Escolha um Montante..."
"Other Amount...","Outro Montante..."
"Amount in %1","Quantidade em %1"
"Minimum","Mínimo"
"Maximum","Máximo"
"Sender Name","Nome do Remetente"
"Sender Email","Email do Remetente"
"Recipient Name","Nome do Destinatário"
"Recipient Email","E-mail do Destinatário"
"Message","Mensagem"
"Maximum length of the message is %1 characters.","O comprimento máximo da mensagem é de %1 caracteres."
"Quantity","Quantidade"
"Website","Site"
"Action","Ação"
"Delete Amount","Eliminar Montante"
"Delete","Eliminar"
"From","De"
"Minimum: %1","Mínimo: %1"
"Maximum: %1","Máximo: %1"
"Availability","Disponibilidade"
"In stock","Em stock"
"You've been sent a gift from %store_name","Recebeu um presente da %store_name"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender enviou-lhe um cartão de oferta para usar na <a href=""%store_url""> %store_name</a> e está pronto para ser usado em compras."
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Cards","Cartões de Oferta"
"Gift Card Email Settings","Definições de Email de Cartões de Oferta"
"Gift Card Notification Email Sender","Remetente de Email de Notificações de Cartão de Oferta"
"Gift Card Notification Email Template","Template de Email de Notificações de Cartão de Oferta"
"Gift Card General Settings","Definições Gerais do Cartão de Oferta"
"Redeemable","Resgatável"
"If empty no expiration.","Se estiver vazio não expira."
"Allow Gift Message","Permitir Mensagem de Oferta"
"Gift Message Maximum Length","Comprimento Máximo da Mensagem de Oferta"
"Generate Gift Card Account when Order Item is","Gerar Conta de Cartão de Oferta quando o Item da Encomenda é"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","Amount should be specified or Open Amount should be allowed"
