"Gift Card Information","Informasi kartu hadiah"
"Virtual","Virtual"
"Physical","Fisik"
"Combined","Kombinasi"
"Add Amount","Tambahkan jumlah"
"All Websites","Semua Situs"
"Gift Card Type","Jenis kartu hadiah"
"Gift Card Sender","Kirim kartu hadiah"
"Gift Card Recipient","Penerima kartu hadiah"
"Gift Card Message","Pesan kartu hadiah"
"Gift Card Lifetime","Kartu hadiah seumur hidup"
"Yes","Ya"
"No","Tidak"
"Gift Card Is Redeemable","Kartu hadiah sudah ditebus"
"We cannot create this gift card.","Kami tidak bisa membuat kartu hadiah ini."
"N/A","N/A"
"Gift Card Accounts","Rekening kartu hadiah"
"Duplicate amount found.","Jumlah duplikat ditemukan."
"Something went wrong while preparing the gift card.","Ada yang salah ketika menyiapkan kartu hadiah."
"Please specify a gift card amount.","Mohon tentukan jumlah kartu hadiah."
"Please specify all the required information.","Mohon tentukan semua informasi yang dibutuhkan."
"Gift Card max amount is %1","Jumlah maksimal kartu hadiah adalah %1"
"Gift Card min amount is %1","Jumlah minimal kartu hadiah adalah %1"
"Please specify a recipient name.","Mohon tentukan nama penerima."
"Please specify a sender name.","Mohon tentukan nama pengirim."
"Please specify a recipient email.","Mohon tentukan email penerima."
"Please specify a sender email.","Mohon tentukan email pengirim."
"Ordered","Dipesan"
"Invoiced","Faktur"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Beberapa akun kartu hadiah tidak dibuat dengan benar. anda bisa membuat akun kartu hadiah secara manual<a href=""%1"">disini</a>."
"Amount","Jumlah"
"To","Ke"
"Treat Balance as Store Credit","Pakai saldo sebagai kredit toko"
"[GLOBAL]","[GLOBAL]"
"Use Config Settings","Gunakan konfigurasi Pengaturan"
"Lifetime (days)","Seumur hidup (hari)"
"Allow Message","Izinkan pesan"
"[STORE VIEW]","[TAMPILAN TOKO]"
"Email Template","Template Email"
"All Websites [%1]","Semua situs web [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","Tersedianya:"
"Out of stock","Persediaan Habis"
"Choose an Amount...","Pilih jumlah..."
"Other Amount...","Jumlah lain..."
"Amount in %1","Dalam jumlah %1"
"Minimum","Minimal"
"Maximum","Maksimal"
"Sender Name","Nama pengirim"
"Sender Email","Email pengirim"
"Recipient Name","Nama penerima"
"Recipient Email","Email penerima"
"Message","Pesan"
"Maximum length of the message is %1 characters.","Panjang maksimal pesan adalah %1 karakter."
"Quantity","Kuantitas"
"Website","Situs web"
"Action","Tindakan"
"Delete Amount","Hapus jumlah"
"Delete","Hapus"
"From","Dari"
"Minimum: %1","Minimal: %1"
"Maximum: %1","Maksimal: %1"
"Availability","Tersedianya"
"In stock","Dalam Persediaan"
"You've been sent a gift from %store_name","Anda sudah mengirim hadiah dari %snama_toko"
"%name,","%nama"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%s pengirim sudah mengirimi anda kartu hadiah untuk di gunakan pada <a href=""%stoko_url"">%snama_toko</a> dan sekarang bisa digunakan untuk pembelian."
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Cards","Kartu hadiah"
"Gift Card Email Settings","Pengaturan email kartu hadiah"
"Gift Card Notification Email Sender","Email pemberitahuan pengirim kartu hadiah"
"Gift Card Notification Email Template","Email pemberitahuan template kartu hadiah"
"Gift Card General Settings","Pengaturan umum kartu hadiah"
"Redeemable","Menebus"
"If empty no expiration.","Jika kosong tidak akan kadaluarsa."
"Allow Gift Message","Izinkan pesan hadiah"
"Gift Message Maximum Length","Panjang maksimal pesan hadiah"
"Generate Gift Card Account when Order Item is","Ketika memesan item akan menghasilkan akun kartu hadiah"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","Amount should be specified or Open Amount should be allowed"
