"Gift Card Information","Lahjakortin tiedot"
"Virtual","Virtuaalinen"
"Physical","Fyysinen"
"Combined","Yhdistetty"
"Add Amount","Lisää summa"
"All Websites","Kaikki sivustot"
"Gift Card Type","Lahjakorttityyppi"
"Gift Card Sender","Lahjakortin lähettäjä"
"Gift Card Recipient","Lahjakortin vastaanottaja"
"Gift Card Message","Lahjakortin viesti"
"Gift Card Lifetime","Lahjakortin voimassaoloaika"
"Yes","Kyllä"
"No","Ei"
"Gift Card Is Redeemable","Lahjakortti on lunastettavissa"
"We cannot create this gift card.","Lahjakorttia ei voida luoda."
"N/A","Ei tietoa"
"Gift Card Accounts","Lahjakorttitilit"
"Duplicate amount found.","Duplicate amount found."
"Something went wrong while preparing the gift card.","Lahjakortin valmistelussa tapahtui virhe."
"Please specify a gift card amount.","Määritä lahjakortin summa."
"Please specify all the required information.","Määritä kaikki vaaditut tiedot."
"Gift Card max amount is %1","Lahjakortin enimmäissumma on %1"
"Gift Card min amount is %1","Lahjakortin minimisumma on %1"
"Please specify a recipient name.","Määritä vastaanottajan nimi."
"Please specify a sender name.","Määritä lähettäjän nimi."
"Please specify a recipient email.","Määritä vastaanottajan sähköpostiosoite."
"Please specify a sender email.","Määritä lähettäjän sähköpostiosoite."
"Ordered","Tilatut"
"Invoiced","Laskutettu"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>."
"Amount","Summa"
"To","Asti"
"Treat Balance as Store Credit","Käsittele saldoa kaupan luottomääränä"
"[GLOBAL]","[GLOBAALI]"
"Use Config Settings","Käytä kokoonpanon asetuksia"
"Lifetime (days)","Voimassa (päiviä)"
"Allow Message","Salli viestin lisäys"
"[STORE VIEW]","[KAUPPANÄKYMÄ]"
"Email Template","Sähköpostimalli"
"All Websites [%1]","Kaikki sivustot [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","Saatavuus:"
"Out of stock","Ei varastossa"
"Choose an Amount...","Valitse summa..."
"Other Amount...","Muu summa..."
"Amount in %1","Summa %1"
"Minimum","Minimi"
"Maximum","Maksimi"
"Sender Name","Lähettäjän nimi"
"Sender Email","Lähettäjän sähköposti"
"Recipient Name","Vastaanottajan nimi"
"Recipient Email","Vastaanottajan sähköpostiosoite"
"Message","Viesti"
"Maximum length of the message is %1 characters.","Viestin enimmäispituus on %1 merkkiä."
"Quantity","Määrä"
"Website","Sivusto"
"Action","Toiminto"
"Delete Amount","Poista summa"
"Delete","Poista"
"From","Alkaen"
"Minimum: %1","Vähintään: %1"
"Maximum: %1","Enintään: %1"
"Availability","Saatavuus"
"In stock","Varastossa"
"You've been sent a gift from %store_name","Olet saanut lahjan %kaupan_nimi"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender on lähettänyt sinulle lahjakortin käytettäväksi <a href=""%store_url"">%store_name</a> voit käyttää sitä heti ostosten tekoon."
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Cards","Lahjakortit"
"Gift Card Email Settings","Lahjakortin sähköpostiasetukset"
"Gift Card Notification Email Sender","Gift Card Notification Email Sender"
"Gift Card Notification Email Template","Gift Card Notification Email Template"
"Gift Card General Settings","Gift Card General Settings"
"Redeemable","Lunastettavissa"
"If empty no expiration.","If empty no expiration."
"Allow Gift Message","Allow Gift Message"
"Gift Message Maximum Length","Gift Message Maximum Length"
"Generate Gift Card Account when Order Item is","Generate Gift Card Account when Order Item is"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","Amount should be specified or Open Amount should be allowed"
