"Gift Card Information","Подарок ваучер Информации"
"Virtual","Virtual"
"Physical","Physical"
"Combined","Combined"
"Add Amount","Add Amount"
"All Websites","All Websites"
"Gift Card Type","Тип Подарок ваучер"
"Gift Card Sender","Испраќач на Подарок ваучер"
"Gift Card Recipient","Примач на Подарок ваучер"
"Gift Card Message","Подарок ваучер Порака"
"Gift Card Lifetime","Времетрање на Подарок ваучер"
"Yes","Да"
"No","Не"
"Gift Card Is Redeemable","Подарок ваучерот е откуплив"
"We cannot create this gift card.","Неможеме да го креираме овој подарок ваучер."
"N/A","N/A"
"Gift Card Accounts","Подарок ваучер Профили"
"Duplicate amount found.","Duplicate amount found."
"Something went wrong while preparing the gift card.","Се случи грешка додека се подготвуваше подарок ваучерот."
"Please specify a gift card amount.","Ве молиме наведете вредност на подарок ваучерот."
"Please specify all the required information.","Please specify all the required information."
"Gift Card max amount is %1","Максималната вредност на подарок ваучерот е %1"
"Gift Card min amount is %1","Минималната вредност на подарок ваучерот е %1"
"Please specify a recipient name.","Ве молиме внесете име на примач."
"Please specify a sender name.","Ве молиме внесете име на испраќач."
"Please specify a recipient email.","Please specify a recipient email."
"Please specify a sender email.","Please specify a sender email."
"Ordered","Порачено"
"Invoiced","Фактурирано"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>."
"Amount","Сума"
"To","До"
"Treat Balance as Store Credit","Treat Balance as Store Credit"
"[GLOBAL]","[GLOBAL]"
"Use Config Settings","Use Config Settings"
"Lifetime (days)","Lifetime (days)"
"Allow Message","Allow Message"
"[STORE VIEW]","[STORE VIEW]"
"Email Template","Email Template"
"All Websites [%1]","All Websites [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","Availability:"
"Out of stock","Нема на залиха"
"Choose an Amount...","Choose an Amount..."
"Other Amount...","Other Amount..."
"Amount in %1","Amount in %1"
"Minimum","Minimum"
"Maximum","Maximum"
"Sender Name","Име на испраќач"
"Sender Email","Емаил на испраќач"
"Recipient Name","Име на примач"
"Recipient Email","Recipient Email"
"Message","Порака"
"Maximum length of the message is %1 characters.","Maximum length of the message is %1 characters."
"Quantity","Количина"
"Website","Веб страна"
"Action","Акција"
"Delete Amount","Delete Amount"
"Delete","Избриши"
"From","Од"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maximum: %1"
"Availability","Availability"
"In stock","На залиха"
"You've been sent a gift from %store_name","You've been sent a gift from %store_name"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases."
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Cards","Подарок ваучери"
"Gift Card Email Settings","Подарок ваучер Емаил Поставки"
"Gift Card Notification Email Sender","Gift Card Notification Email Sender"
"Gift Card Notification Email Template","Gift Card Notification Email Template"
"Gift Card General Settings","Подарок ваучер Генерални Поставки"
"Redeemable","Redeemable"
"If empty no expiration.","If empty no expiration."
"Allow Gift Message","Allow Gift Message"
"Gift Message Maximum Length","Gift Message Maximum Length"
"Generate Gift Card Account when Order Item is","Generate Gift Card Account when Order Item is"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","Amount should be specified or Open Amount should be allowed"
