"Gift Card Information","Informasi Kartu Hadiah"
"Virtual","Virtual"
"Physical","Fisik"
"Combined","Digabungkan"
"Add Amount","Tambah Jumlah"
"All Websites","Semua Website"
"Gift Card Type","Jenis Kartu Hadiah"
"Gift Card Sender","Pengirim Kartu Hadiah"
"Gift Card Recipient","Penerima Kartu Hadiah"
"Gift Card Message","Pesan Kartu Hadiah"
"Gift Card Lifetime","Kartu Hadiah Seumur Hidup"
"Yes","Ya"
"No","Tidak"
"Gift Card Is Redeemable","Kartu hadiah adalah redeemable"
"We cannot create this gift card.","Kami tidak dapat membuat kartu hadiah ini."
"N/A","N / A"
"Gift Card Accounts","Kartu hadiah"
"Duplicate amount found.","Jumlah dupikat ditemukan."
"Something went wrong while preparing the gift card.","Ada yang tidak beres saat menyiapkan kartu hadiah."
"Please specify a gift card amount.","Silakan tentukan jumlah kartu hadiah."
"Please specify all the required information.","Silakan tentukan semua informasi yang dibutuhkan."
"Gift Card max amount is %1","Jumlah maksimal kartu hadiah adalah %1"
"Gift Card min amount is %1","Jumlah min Kartu Hadiah adalah %1"
"Please specify a recipient name.","Silakan tentukan nama penerima."
"Please specify a sender name.","Silakan tentukan nama pengirim."
"Please specify a recipient email.","Silakan tentukan email penerima."
"Please specify a sender email.","Silakan tentukan email pengirim."
"Ordered","Dipesan"
"Invoiced","Faktur Ditagihkan"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Beberapa kartu hadiah tidak dibuat dengan benar. Anda dapat membuat akun kartu hadiah secara manual <a href="" %1 ""> di sini </a>."
"Amount","Jumlah"
"To","Ke"
"Treat Balance as Store Credit","Mengobati Saldo sebagai Kredit Toko"
"[GLOBAL]","[GLOBAL]"
"Use Config Settings","Gunakan Pengaturan Konfirmasi"
"Lifetime (days)","Seumur hidup (hari)"
"Allow Message","Biarkan pesan"
"[STORE VIEW]","[LIHAT TOKO]"
"Email Template","Template Email"
"All Websites [%1]","Semua Situs Web [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","Tersedianya:"
"Out of stock","Habis terjual"
"Choose an Amount...","Pilih Jumlah..."
"Other Amount...","Jumlah lain..."
"Amount in %1","Jumlah di %1"
"Minimum","Minimum"
"Maximum","Maksimum"
"Sender Name","Nama Pengirim"
"Sender Email","Email Pengirim"
"Recipient Name","Nama penerima"
"Recipient Email","Penerima e-mail"
"Message","Pesan"
"Maximum length of the message is %1 characters.","Panjang maksimum pesan adalah %1 karakter."
"Quantity","Kuantitas"
"Website","Situs web"
"Action","Tindakan"
"Delete Amount","Hapus Jumlah"
"Delete","Hapus"
"From","Dari"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maksimum: %1"
"Availability","Tersedianya"
"In stock","Tersedia"
"You've been sent a gift from %store_name","Anda telah mengirim hadiah dari %store_name"
"%name,","%nama,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender telah mengirimkan kartu hadiah untuk penggunaan di <a href="" %store_url"">%store_name</a> dan sekarang siap untuk digunakan untuk pembelian."
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Cards","Kartu hadiah"
"Gift Card Email Settings","Pengaturan Email Kartu Hadiah"
"Gift Card Notification Email Sender","Pemberitahuan Kartu Hadiah Email Pengirim"
"Gift Card Notification Email Template","Email Pemberitahuan Pemberitahuan Kartu Hadiah"
"Gift Card General Settings","Setelan Umum Kartu Hadiah"
"Redeemable","Dapat ditukarkan"
"If empty no expiration.","Jika kosong tidak akan kadaluarsa."
"Allow Gift Message","Izinkan Pesan Hadiah"
"Gift Message Maximum Length","Panjang maksimal pesan hadiah"
"Generate Gift Card Account when Order Item is","Menghasilkan rekening kartu hadiah saat memesan item"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","Jumlah harus ditentukan atau jumlah terbuka harus diijinkan"
