"Gift Card Information","Information d'une carte-cadeau"
"Virtual","Virtuel"
"Physical","Physique"
"Combined","Combiné"
"Add Amount","Ajouter un montant"
"All Websites","Tous les sites web"
"Gift Card Type","Type de carte-cadeau"
"Gift Card Sender","Expéditeur d'une carte-cadeau"
"Gift Card Recipient","Destinataire d'une carte-cadeau"
"Gift Card Message","Message d'une carte-cadeau"
"Gift Card Lifetime","Durée de validité d'une carte-cadeau"
"Yes","Oui"
"No","Non"
"Gift Card Is Redeemable","La carte-cadeau est échangeable"
"We cannot create this gift card.","Nous ne pouvons pas créer cette carte-cadeau."
"N/A","N/A"
"Gift Card Accounts","Produits récemment consultés/comparés"
"Duplicate amount found.","Montant en double."
"Something went wrong while preparing the gift card.","Une erreur s'est produite lors de la préparation de la carte-cadeau."
"Please specify a gift card amount.","Veuillez préciser un montant de carte-cadeau."
"Please specify all the required information.","Veuillez renseigner toutes les informations requises."
"Gift Card max amount is %1","Le montant maximum d'une carte-cadeau est %1"
"Gift Card min amount is %1","Le montant minimum d'une carte-cadeau est %1"
"Please specify a recipient name.","Veuillez indiquer un nom de destinataire."
"Please specify a sender name.","Veuillez indiquer un nom d'expéditeur."
"Please specify a recipient email.","Veuillez indiquer l'adresse email du destinataire."
"Please specify a sender email.","Veuillez indiquer l'adresse email de l'expéditeur."
"Ordered","Commandé"
"Invoiced","Facturé"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Certains comptes de cartes-cadeaux n’ont pas été créés correctement. Vous pouvez créer des comptes de cartes-cadeaux manuellement <a href=""%1"">ici</a>."
"Amount","Montant"
"To","À"
"Treat Balance as Store Credit","Traiter le solde comme du crédit en magasin"
"[GLOBAL]","[GLOBAL]"
"Use Config Settings","Utilisez les paramètres de configuration"
"Lifetime (days)","Durée de validité (en jours)"
"Allow Message","Autoriser un message"
"[STORE VIEW]","[VUE MAGASIN]"
"Email Template","Gabarit du mail"
"All Websites [%1]","Tous les sites web [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","Disponibilité :"
"Out of stock","Épuisé"
"Choose an Amount...","Choisissez un montant..."
"Other Amount...","Autre montant..."
"Amount in %1","Montant en %1"
"Minimum","Minimum"
"Maximum","Maximum"
"Sender Name","Nom de l'expéditeur"
"Sender Email","Email de l'expéditeur"
"Recipient Name","Nom du bénéficiaire"
"Recipient Email","Adresse email du destinataire"
"Message","Message"
"Maximum length of the message is %1 characters.","La longueur maximale du message est de %1 caractères."
"Quantity","Quantité"
"Website","Site web""%s and greater"
"Action","Action"
"Delete Amount","Supprimer le montant"
"Delete","Supprimer"
"From","Depuis"
"Minimum: %1","Minimum : %1"
"Maximum: %1","Maximum : %1"
"Availability","Disponibilité"
"In stock","En stock"
"You've been sent a gift from %store_name","Vous avez reçu un cadeau de %store_name"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender vous a envoyé une carte-cadeau pour une utilisation à <a href=""%store_url"">%store_name</a> et elle est maintenant prête à être utilisée pour des achats."
"Gift Card Codes:","Codes de carte-cadeau :"
"Gift Card Code:","Code de carte-cadeau :"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Chaque carte a un solde de %balance qui peut être utilisé chez <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","La carte a un solde de %balance qui peut être utilisé chez <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Cliquez sur le ou les codes ci-dessus pour les transformer en crédit du magasin."
"Message from %sender_name:","Contenu du message"
"Gift Cards","Cartes-cadeaux"
"Gift Card Email Settings","Paramètres de l'adresse email d'une carte-cadeau"
"Gift Card Notification Email Sender","Expéditeur de l'email de notification de carte-cadeau"
"Gift Card Notification Email Template","Modèle de l'email de notification de carte-cadeau"
"Gift Card General Settings","Paramètres généraux d'une carte cadeau"
"Redeemable","Répertoire récursif"
"If empty no expiration.","Si vide, pas de date d'expiration."
"Allow Gift Message","Autoriser le message cadeau"
"Gift Message Maximum Length","Longueur maximale d'un message de carte-cadeau"
"Generate Gift Card Account when Order Item is","Créer un compte de carte-cadeau quand un article de la commande est"
"Messaging and Lifetime","Messagerie et durée de vie"
"Amount should be specified or Open Amount should be allowed","Montant doit être précisé ou montant libre autorisé"
