"Gift Card Information","Dāvanu kartes informācija"
"Virtual","Virtuāla"
"Physical","Fiziska"
"Combined","Kombinēta"
"Add Amount","Pielikt skaitu"
"All Websites","Visas lapas"
"Gift Card Type","Dāvanu kartes veids"
"Gift Card Sender","Dāvanu kartes sūtītājs"
"Gift Card Recipient","Dāvanu kartes saņēmējs"
"Gift Card Message","Dāvanu kartes ziņa"
"Gift Card Lifetime","Dāvanu kartes derīguma termiņš"
"Yes","Jā"
"No","Nē"
"Gift Card Is Redeemable","Dāvanu karte ir izpērkama"
"We cannot create this gift card.","Nevar izveidot šo dāvanu karti."
"N/A","N/A"
"Gift Card Accounts","Dāvanu kartes konti"
"Duplicate amount found.","Atrasts dubults skaits."
"Something went wrong while preparing the gift card.","Kļūda sagatavojot dāvanu karti."
"Please specify a gift card amount.","Norādiet dāvanu kartes summu."
"Please specify all the required information.","Norādiet visu nepieciešamo informāciju."
"Gift Card max amount is %1","Dāvanu kartes maksimālā summa ir %1"
"Gift Card min amount is %1","Dāvanu kartes minimālā summa ir %1"
"Please specify a recipient name.","Norādiet saņēmēja vārdu."
"Please specify a sender name.","Norādiet sūtītāja vārdu."
"Please specify a recipient email.","Norādiet saņēmēja e-pastu."
"Please specify a sender email.","Norādiet sūtītāja e-pastu."
"Ordered","Pasūtīts"
"Invoiced","Piestādīts rēķins"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Atsevišķi dāvanu kartes konti netika pareizi izveidoti. Jūs varat izveidot dāvanu kartes kontus manuāli <a href=""%1"">šeit</a>."
"Amount","Skaits"
"To","Kam"
"Treat Balance as Store Credit","Izmantot Balansu kā Veikala kredītu"
"[GLOBAL]","[GLOBĀLI]"
"Use Config Settings","Lietot konfigurācijas iestatījumus"
"Lifetime (days)","Dzīves ilgums (dienas)"
"Allow Message","Atļaut ziņu"
"[STORE VIEW]","[STORE VIEW]"
"Email Template","E-pasta šablons"
"All Websites [%1]","All Websites [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","Pieejamība:"
"Out of stock","Nav pieejams"
"Choose an Amount...","Izvēlieties skaitu..."
"Other Amount...","Cits skaits..."
"Amount in %1","Skaits %1"
"Minimum","Minimums"
"Maximum","Maksimums"
"Sender Name","Sūtītāja vārds"
"Sender Email","Sūtītāja e-pasta adrese"
"Recipient Name","Saņēmēja Vārds"
"Recipient Email","Saņēmēja e-pasts"
"Message","Ziņa"
"Maximum length of the message is %1 characters.","Maksimālais ziņas zīmju skaits ir %1 simboli."
"Quantity","Skaits"
"Website","Mājas lapa"
"Action","Darbība"
"Delete Amount","Nodzēst skaitu"
"Delete","Dzēst"
"From","No"
"Minimum: %1","Minimums: %1"
"Maximum: %1","Maksimums: %1"
"Availability","Pieejamība"
"In stock","Noliktavā"
"You've been sent a gift from %store_name","You've been sent a gift from %store_name"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender nosūtīja Jums Dāvanu karti veikalā <a href=""%store_url"">%store_name</a> un tā ir derīga pirkumu veikšanai."
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Cards","Gift Cards"
"Gift Card Email Settings","Dāvanu kartes e-pasta iestatījumi"
"Gift Card Notification Email Sender","Dāvanu kartes e-pasta paziņojuma sūtītājs"
"Gift Card Notification Email Template","Dāvanu kartes e-pasta paziņojuma šablons"
"Gift Card General Settings","Dāvanu kartes pamatiestatījumi"
"Redeemable","Atprečojams"
"If empty no expiration.","Ja tukšs, tad nav derīguma termiņa beigas."
"Allow Gift Message","Atļat dāvanas ziņu"
"Gift Message Maximum Length","Dāvanas ziņas maksimālais garums"
"Generate Gift Card Account when Order Item is","Ģenerēt Dāvanu kartes kontu, ja pasūtījuma produkts ir"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","Amount should be specified or Open Amount should be allowed"
