"Gift Card Information","Informazioni Gift Card"
"Virtual","Virtuale"
"Physical","Fisico"
"Combined","Combinato"
"Add Amount","Aggiungi importo"
"All Websites","Tutti i Website"
"Gift Card Type","Tipo Gift Card"
"Gift Card Sender","Mittente Gift Card"
"Gift Card Recipient","Destinatario gift card"
"Gift Card Message","Messaggio gift card"
"Gift Card Lifetime","Durata gift card"
"Yes","Sì"
"No","No"
"Gift Card Is Redeemable","La gift card è rimborsabile"
"We cannot create this gift card.","Non è possibile creare questa gift card."
"N/A","N/D"
"Gift Card Accounts","Account Gift Card"
"Duplicate amount found.","Importi duplicati trovati."
"Something went wrong while preparing the gift card.","Qualcosa è andato storto durante la preparazione della gift card."
"Please specify a gift card amount.","Specifica un importo gift card."
"Please specify all the required information.","Specifica tutte le informazioni richieste."
"Gift Card max amount is %1","L'importo massimo della Gift Card è di %1"
"Gift Card min amount is %1","L'importo minimo della Gift Card è di %1"
"Please specify a recipient name.","Specifica il nome del destinatario."
"Please specify a sender name.","Specifica il nome mittente."
"Please specify a recipient email.","Specifica l'email del destinatario."
"Please specify a sender email.","Specifica un mittente email."
"Ordered","Ordinato"
"Invoiced","Fatturati"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Alcuni account gift card non sono stati creati correttamente. Puoi creare account gift card manualmente <a href=""%1"">qui</a>."
"Amount","Importo"
"To","Al"
"Treat Balance as Store Credit","Tratta il saldo come credito negozio"
"[GLOBAL]","[GLOBALE]"
"Use Config Settings","Utilizzare le impostazioni di configurazione"
"Lifetime (days)","Durata (giorni)"
"Allow Message","Consenti messaggi"
"[STORE VIEW]","[VISTA NEGOZIO]"
"Email Template","Template email"
"All Websites [%1]","Tutti i Website [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","Disponibilita':"
"Out of stock","Non Disponibile"
"Choose an Amount...","Scegli un importo..."
"Other Amount...","Altro importo..."
"Amount in %1","Importo in %1"
"Minimum","Minimo"
"Maximum","Massimo"
"Sender Name","Nome mittente"
"Sender Email","Email mittente"
"Recipient Name","Nome del destinatario"
"Recipient Email","Email destinatario"
"Message","Messaggio"
"Maximum length of the message is %1 characters.","La lunghezza massima del messaggio è di %1 caratteri."
"Quantity","Quantità"
"Website","Sito Web"
"Action","Azione"
"Delete Amount","Elimina la quantità"
"Delete","Elimina"
"From","Dal"
"Minimum: %1","Minimo: %1"
"Maximum: %1","Massimo: %1"
"Availability","Disponibilita'"
"In stock","Disponibile"
"You've been sent a gift from %store_name","Ti è stato inviato un regalo da %store_name"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender ti ha inviato una gift card per l'uso su <a href=""%store_url""> %store_name</a> e ora è pronta per essere utilizzata per gli acquisti."
"Gift Card Codes:","Codici gift card:"
"Gift Card Code:","Codice gift card:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Ogni carta ha un saldo di %balance che può essere utilizzato su <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","La carta ha un saldo di %balance che può essere utilizzato su <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Clicca sui codici sopra per riscattarli in crediti negozio."
"Message from %sender_name:","Messaggio da %sender_name:"
"Gift Cards","Gift Cards"
"Gift Card Email Settings","Impostazioni email Gift Card"
"Gift Card Notification Email Sender","Mittente email notifica Gift Card"
"Gift Card Notification Email Template","Template email notifica Gift Card"
"Gift Card General Settings","Impostazioni generali Gift Card"
"Redeemable","Riscattabili"
"If empty no expiration.","Se è vuoto nessuna scadenza."
"Allow Gift Message","Permetti messaggi regalo"
"Gift Message Maximum Length","Lunghezza massima del messaggio regalo"
"Generate Gift Card Account when Order Item is","Genera l'account gift card quando l'elemento Ordine è"
"Messaging and Lifetime","Messaggistica e durata"
"Amount should be specified or Open Amount should be allowed","Amount should be specified or Open Amount should be allowed"
