"Gift Card Information","Kinkekaardi teave"
"Virtual","Virtual"
"Physical","Füüsiline"
"Combined","Kombineeritud"
"Add Amount","Add Amount"
"All Websites","Kõik veebisaidid"
"Gift Card Type","Kinkekaardi tüüp"
"Gift Card Sender","Kinkekaardi saatja"
"Gift Card Recipient","Kinkekaardi saaja"
"Gift Card Message","Kinkekaardi sõnum"
"Gift Card Lifetime","Kinkekaardi kehtivusaeg"
"Yes","Jah"
"No","Ei"
"Gift Card Is Redeemable","Gift Card Is Redeemable"
"We cannot create this gift card.","We cannot create this gift card."
"N/A","Pole Saadaval"
"Gift Card Accounts","Kinkekaardi kontod"
"Duplicate amount found.","Duplicate amount found."
"Something went wrong while preparing the gift card.","Something went wrong while preparing the gift card."
"Please specify a gift card amount.","Please specify a gift card amount."
"Please specify all the required information.","Please specify all the required information."
"Gift Card max amount is %1","Gift Card max amount is %1"
"Gift Card min amount is %1","Gift Card min amount is %1"
"Please specify a recipient name.","Please specify a recipient name."
"Please specify a sender name.","Please specify a sender name."
"Please specify a recipient email.","Please specify a recipient email."
"Please specify a sender email.","Please specify a sender email."
"Ordered","Tellitud"
"Invoiced","Arve esitatud"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>."
"Amount","Kogus"
"To","Kellele"
"Treat Balance as Store Credit","Treat Balance as Store Credit"
"[GLOBAL]","[GLOBAALNE]"
"Use Config Settings","Kasuta üldseadeid"
"Lifetime (days)","Lifetime (days)"
"Allow Message","Luba sõnum"
"[STORE VIEW]","[POEVAADE]"
"Email Template","E-kirja põhi"
"All Websites [%1]","All Websites [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","Saadavus:"
"Out of stock","Laost otsas"
"Choose an Amount...","Vali summa..."
"Other Amount...","Other Amount..."
"Amount in %1","Amount in %1"
"Minimum","Minimaalne"
"Maximum","Maksimaalne"
"Sender Name","Saatja nimi"
"Sender Email","Saatja e-posti aadress"
"Recipient Name","Saaja nimi"
"Recipient Email","Saaja e-posti aadress"
"Message","Sõnum"
"Maximum length of the message is %1 characters.","Maximum length of the message is %1 characters."
"Quantity","Kogus"
"Website","Koduleht"
"Action","Toiming"
"Delete Amount","Delete Amount"
"Delete","Kustuta"
"From","Kellelt"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maximum: %1"
"Availability","Saadavus"
"In stock","Laos"
"You've been sent a gift from %store_name","You've been sent a gift from %store_name"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases."
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Cards","Kinkekaardid"
"Gift Card Email Settings","Gift Card Email Settings"
"Gift Card Notification Email Sender","Gift Card Notification Email Sender"
"Gift Card Notification Email Template","Gift Card Notification Email Template"
"Gift Card General Settings","Gift Card General Settings"
"Redeemable","Redeemable"
"If empty no expiration.","If empty no expiration."
"Allow Gift Message","Luba kinkesõnum"
"Gift Message Maximum Length","Gift Message Maximum Length"
"Generate Gift Card Account when Order Item is","Generate Gift Card Account when Order Item is"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","Amount should be specified or Open Amount should be allowed"
