"Gift Card Information","선물 카드 정보"
"Virtual","Virtual"
"Physical","Physical"
"Combined","Combined"
"Add Amount","수량 추가"
"All Websites","모든 웹사이트 "
"Gift Card Type","선물 카드 타입"
"Gift Card Sender","선물 카드 전송자"
"Gift Card Recipient","선물 카드 받는 사람"
"Gift Card Message","선물 카드 메세지"
"Gift Card Lifetime","선물 카드 Lifetime"
"Yes","네"
"No","아니오"
"Gift Card Is Redeemable","Gift Card Is Redeemable"
"We cannot create this gift card.","이 선물 카드를 생성할 수 없습니다."
"N/A","해당없음"
"Gift Card Accounts","선물 카드 계정"
"Duplicate amount found.","Duplicate amount found."
"Something went wrong while preparing the gift card.","Something went wrong while preparing the gift card."
"Please specify a gift card amount.","Please specify a gift card amount."
"Please specify all the required information.","Please specify all the required information."
"Gift Card max amount is %1","Gift Card max amount is %1"
"Gift Card min amount is %1","Gift Card min amount is %1"
"Please specify a recipient name.","Please specify a recipient name."
"Please specify a sender name.","Please specify a sender name."
"Please specify a recipient email.","Please specify a recipient email."
"Please specify a sender email.","Please specify a sender email."
"Ordered","주문됨"
"Invoiced","청구됨"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>."
"Amount","금액"
"To","받는 사람"
"Treat Balance as Store Credit","Treat Balance as Store Credit"
"[GLOBAL]","[글로벌]"
"Use Config Settings","스토어 설정값 사용"
"Lifetime (days)","Lifetime (days)"
"Allow Message","Allow Message"
"[STORE VIEW]","[스토어뷰]"
"Email Template","이메일 템플릿"
"All Websites [%1]","All Websites [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","재고상태:"
"Out of stock","품절"
"Choose an Amount...","Choose an Amount..."
"Other Amount...","Other Amount..."
"Amount in %1","Amount in %1"
"Minimum","Minimum"
"Maximum","Maximum"
"Sender Name","보내는 사람 이름"
"Sender Email","보내는 사람 이메일"
"Recipient Name","Recipient Name"
"Recipient Email","Recipient Email"
"Message","메세지"
"Maximum length of the message is %1 characters.","Maximum length of the message is %1 characters."
"Quantity","수량"
"Website","웹사이트"
"Action","동작"
"Delete Amount","Delete Amount"
"Delete","삭제"
"From","보낸 사람"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maximum: %1"
"Availability","재고상태"
"In stock","재고 있음"
"You've been sent a gift from %store_name","You've been sent a gift from %store_name"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender has sent you a gift card for use at <a href=""%store_url"">
 %store_name</a>
 and it is now ready to be used for purchases."
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Cards","Gift Cards"
"Gift Card Email Settings","Gift Card Email Settings"
"Gift Card Notification Email Sender","Gift Card Notification Email Sender"
"Gift Card Notification Email Template","Gift Card Notification Email Template"
"Gift Card General Settings","Gift Card General Settings"
"Redeemable","Redeemable"
"If empty no expiration.","If empty no expiration."
"Allow Gift Message","Allow Gift Message"
"Gift Message Maximum Length","Gift Message Maximum Length"
"Generate Gift Card Account when Order Item is","Generate Gift Card Account when Order Item is"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","Amount should be specified or Open Amount should be allowed"
