"Gift Card Information","ギフトカード情報"
"Virtual","仮想"
"Physical","物理的"
"Combined","複合"
"Add Amount","額を追加"
"All Websites","すべてのウェブサイト"
"Gift Card Type","ギフトカード種別"
"Gift Card Sender","ギフトカード送信者"
"Gift Card Recipient","ギフトカード受取人名"
"Gift Card Message","ギフトカードメッセージ"
"Gift Card Lifetime","ギフトカード有効期間"
"Yes","Yes"
"No","No"
"Gift Card Is Redeemable","ギフトカードは換金可能"
"We cannot create this gift card.","このギフトカードは作成できません。"
"N/A","該当無し"
"Gift Card Accounts","ギフトカードアカウント"
"Duplicate amount found.","重複した金額が見つかりました。"
"Something went wrong while preparing the gift card.","ギフトカードの準備中に何か問題が発生しました。"
"Please specify a gift card amount.","ギフトカードの金額を指定してください。"
"Please specify all the required information.","すべての必須項目を入力してください。"
"Gift Card max amount is %1","ギフトカードの最大額は%1です"
"Gift Card min amount is %1","ギフトカードの最小金額は%1です"
"Please specify a recipient name.","受信者の名前を指定してください。"
"Please specify a sender name.","送信者の名前を指定してください。"
"Please specify a recipient email.","受信者のメールアドレスを指定してください。"
"Please specify a sender email.","送信者メールを指定してください。"
"Ordered","注文済"
"Invoiced","請求済"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","一部のギフトカードアカウントが正しく作成されていませんでした。 ギフトカードアカウントは、<a href=""%1"">こちら</a>で手動で作成することができます。"
"Amount","金額"
"To","終了"
"Treat Balance as Store Credit","残高を店舗クレジットとして扱う"
"[GLOBAL]","[グローバル]"
"Use Config Settings","設定を使用"
"Lifetime (days)","有効期限 (日)"
"Allow Message","メッセージを許可"
"[STORE VIEW]","[ストアビュー]"
"Email Template","メールテンプレート"
"All Websites [%1]","すべてのウェブサイト[%1]"
"%1 [%2]","%1 [%2]"
"Availability:","在庫状況:"
"Out of stock","在庫切れ"
"Choose an Amount...","額を選択してください..."
"Other Amount...","注文額..."
"Amount in %1","%1の金額"
"Minimum","最小"
"Maximum","最大"
"Sender Name","送信者名"
"Sender Email","送信者メールアドレス"
"Recipient Name","受取人名"
"Recipient Email","受取人メールアドレス"
"Message","メッセージ"
"Maximum length of the message is %1 characters.","メッセージの最大長は %1 文字です。"
"Quantity","個数"
"Website","ウェブサイト"
"Action","アクション"
"Delete Amount","額を削除"
"Delete","削除"
"From","開始"
"Minimum: %1","最小: %1"
"Maximum: %1","最大: %1"
"Availability","在庫あり"
"In stock","在庫あり"
"You've been sent a gift from %store_name","あなたは %store_name から贈り物を送りました"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%senderがあなたに<a href=""%store_url"">%store_name </a>で使用するギフトカードを送信しました。これで、購入の際利用できるようになりました。"
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Cards","ギフトカード"
"Gift Card Email Settings","ギフトカードメール設定"
"Gift Card Notification Email Sender","ギフトカード通知メール送信者"
"Gift Card Notification Email Template","ギフトカード通知メールテンプレート"
"Gift Card General Settings","ギフトカード全般設定"
"Redeemable","換金可能"
"If empty no expiration.","空の場合は無期限です。"
"Allow Gift Message","ギフトメッセージを許可"
"Gift Message Maximum Length","ギフトメッセージ最大文字数"
"Generate Gift Card Account when Order Item is","注文商品が以下の場合に自動的にギフトカードアカウントを作成する"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","金額を指定するか、未払い金額を許可する必要があります。"
