"Gift Card Accounts","Account Gift Card"
"Add Gift Card Account","Aggiungi account gift card"
"Save","Salva"
"Delete","Elimina"
"Save & Send Email","Salva e Invia Email"
"Edit Gift Card Account: %1","Modifica account gift card: %1"
"New Gift Card Account","Nuovo account gift card"
"ID","ID"
"Date","Data"
"Action","Azione"
"Balance Change","Cambio Saldo"
"Balance","Saldo"
"More Information","Maggiori Informazioni"
"Information","Informazioni"
"Gift Card Code","Codice gift card"
"Status","Stato"
"Active","Attiva"
"Yes","Sì"
"No","No"
"Redeemable","Riscattabili"
"Website","Sito Web"
"Expiration Date","Data di scadenza"
"Send Gift Card","Invia gift card"
"Recipient Email","Email destinatario"
"Recipient Name","Nome del destinatario"
"Send Email from the Following Store View","Invia email dalla seguente vista negozio"
"-- First Please Select a Website --","-- Seleziona un Website --"
"Gift Card Account","Account gift card"
"History","Cronologia"
"This gift card account has been deleted.","Questo account gift card è stato eliminato."
"We couldn't find a gift card account to delete.","Non è possibile trovare un account gift card da eliminare."
"Edit Gift Card Account","Modifica account gift card"
"New Account","Nuovo Account"
"New code pool was generated.","è stato generato un nuovo code pool."
"We were unable to generate a new code pool.","Non è possibile generare un nuovo code pool."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>.","Code Pool utilizzato: <b>%1%</b> (<b>%2</b> liberi di <b>%3</b> totali). Genera nuovo code pool <a href=""%4""> qui</a>."
"Please select a gift card account(s)","Seleziona un account gift card"
"You deleted a total of %1 records.","Hai eliminato un totale di %1 records."
"You saved the gift card account.","Hai salvato l'account gift card."
"An email was not sent because the gift card account is not active.","Un'email non è stata inviata perchè l'account gift card non è attivo."
"You saved the gift card account, but an email was not sent.","Hai salvato l'account gift card, ma non è stata inviata l'email."
"We will refund the gift card amount to your customer’s store credit","Verrai rimborsato dell'importo della gift card nel tuo credito negozio"
"Please enable Store Credit to refund the gift card amount to your customer","Abilita i crediti store per rimborsare l'importo della gift card al tuo cliente"
"Please correct the gift card code.","Correggi il codice Buono Regalo."
"Gift Card ""%1"" was added.","La carta regalo ""%1"" è stata aggiunta."
"We cannot apply this gift card.","Non possiamo usare questa carta regalo."
"Gift Card ""%1"" was removed.","La carta regalo ""%1"" è stata eliminata."
"You can't remove this gift card.","Non puoi eliminare questa carta regalo."
"You can't redeem a gift card now.","Impossibile utilizzare una carta regalo in questo momento."
"Gift Card ""%1"" was redeemed.","La carta regalo ""%1"" è stata riscattata."
"We cannot redeem this gift card.","Non è possibile utilizzare questa carta regalo."
"Gift Card","Carta Regalo"
"By admin: %1.","Da admin: %1."
"Could not save the gift card account.","Impossibile salvare l'account gift card."
"Could not delete the gift card account.","Impossibile cancellare l'account gift card."
"The expiration date must be set in the future.","La data di scadenza deve essere impostata in futuro."
"The balance cannot be less than zero.","Il saldo non può essere minore di zero."
"This gift card account is already in the quote.","Questo conto della carta regalo è già nel bilancio."
"Please correct the gift card account code: ""%1"".","Correggi il codice account della carta regalo: ""%1""."
"This gift card account wasn't found in the quote.","Questo account gift card non è stato trovato nel preventivo."
"Please correct the gift card account ID. Requested code: ""%1""","Correggi l'ID dell'account della carta regalo. Codice richiesto: ""%1"""
"Please correct the gift card account website: %1.","Correggi il conto del website della carta regalo: %1."
"Gift card account %1 is not enabled.","Il conto della carta regalo %1 non è attivo."
"Gift card account %1 is expired.","Il conto della carta regalo %1 non è scaduto."
"Gift card account %1 has a zero balance.","L'account gift card %1 ha un saldo pari a zero."
"Gift card account %1 balance is lower than the charged amount.","Il saldo dell'account gift card %1 è inferiore all'importo addebitato."
"Available","Disponibile"
"Used","Usato"
"Redeemed","Riscattata"
"Expired","Scaduto"
"Please enter a valid customer ID.","Inserisci un ID cliente valido."
"Gift Card Redeemed: %1. For customer #%2.","Gift card riscattati: %1. Per cliente #%2."
"Created","Creato"
"Updated","Aggiornato"
"Sent","Inviato"
"Order #%1.","Ordine #%1."
"Recipient: %1.","Destinatario: %1."
"Customer #%1.","Cliente #%1."
"Please assign a gift card account.","Assegna un account gift card."
"Unknown history action.","Azione cronologia sconosciuta."
"We were unable to create full code pool size. Please check settings and try again.","Non è possibile creare la dimensione completa del code pool. Controlla le impostazioni e riprova."
"No codes left in the pool.","Nessun codice rilasciato nel pool."
"Cart %1 doesn't contain products","Il carrello %1 non contiene prodotti"
"Could not delete gift card from quote","Impossibile eliminare la gift card dal preventivo"
"Could not add gift card code","Non è possibile aggiungere il codice gift card"
"Please correct the wrong or expired Gift Card Code.","Correggi il codice della gift card errato o scaduto."
"Alphanumeric","Alfanumerico"
"Alphabetical","Alfabetico"
"Numeric","Numerico"
"The maximum generated code length is 255. Please correct your settings.","La lunghezza massima del codice generato è 255. Correggi le impostazioni."
"Gift Cards","Gift Cards"
"test message","messaggio di prova"
"Generate","Genera"
"Code Pool used: ","Code pool utilizzato: "
" (free "," (gratis "
" of "," di "
" total)."," totale)."
"Are you sure you want to continue without saving your changes?","Sei sicuro di voler continuare senza salvare le modifiche?"
"Refund Gift Cards to Store Credit","Rimborsa gift card al credito del negozio"
"Add Gift Card","Aggiungi Buono Regalo"
"Remove","Elimina"
"Gift Card (%1)","Gift card (%1)"
"This won't take long . . .","Non ci vorrà molto . . ."
"Enter gift card code","Inserisci codice gift card"
"Redeem Gift Card","Riscatta gift card"
"Check status and balance","Controlla status e saldo"
"Have a gift card? ","Hai una gift card? "
"Click here","Clicca qui"
" to redeem it."," per riscattarla."
"Enter the gift card code","Inserisci il codice Buono Regalo"
"Check Gift Card status and balance","Controlla lo status e il saldo del Buono Regalo"
"Gift Card: ","Gift Card: "
"Current Balance: ","Saldo corrente: "
"Expires: ","Scade il: "
"Please enter a valid gift card code.","Inserisci un codice gift card valido."
"Add or remove gift cards","Aggiungi o rimuovi gift card"
"Gift Card amount applied to order:","Importo gift card applicato all'ordine:"
"You've been sent a gift from %store_name","Ti è stato inviato un regalo da %store_name"
"%name,","%name,"
"You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.","Hai inviato una gift card per l'uso su %store_name e ora è pronto per essere utilizzato per gli acquisti."
"Gift Card Code: %code","Codice del buono regalo: %code"
"The card has a balance of %balance and can be used at ","La carta ha un saldo di %balance e può essere utilizzata in "
"%store_name","%store_name"
"Apply Gift Card","Applica gift card"
