"Gift Card Accounts","Cadeaubon Accounts"
"Add Gift Card Account","Gift Card Account toevoegen"
"Save","Opslaan"
"Delete","Verwijder"
"Save & Send Email","Opslaan & Stuur e-mail"
"Edit Gift Card Account: %1","Cadeaubon bewerken account: %1"
"New Gift Card Account","Nieuw cadeaubon account"
"ID","ID"
"Date","Datum"
"Action","Actie"
"Balance Change","Saldo Verandering"
"Balance","Saldo"
"More Information","Meer informatie"
"Information","Informatie"
"Gift Card Code","Geschenk kaart Code"
"Status","status"
"Active","Actief"
"Yes","Ja"
"No","Nee"
"Redeemable","Inwisselbaar"
"Website","Website"
"Expiration Date","Vervaldatum"
"Send Gift Card","Cadeaubon versturen"
"Recipient Email","E-mail van ontvanger"
"Recipient Name","Naam geadresseerde"
"Send Email from the Following Store View","Stuur E-mail notificatie vanuit het volgende Winkelaanzicht"
"-- First Please Select a Website --","-- Selecteer eerst een website --"
"Gift Card Account","Cadeaubon account"
"History","Geschiedenis"
"This gift card account has been deleted.","Deze cadeaubon account werd verwijderd."
"We couldn't find a gift card account to delete.","We kunnen geen cadeaubon account vinden om te verwijderen."
"Edit Gift Card Account","Bewerk cadeaubon account"
"New Account","Nieuw account"
"New code pool was generated.","Nieuwe groep van de code is gegenereerd."
"We were unable to generate a new code pool.","We waren niet in staat om de code te genereren voor een nieuwe groep."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>.","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>."
"Please select a gift card account(s)","Selecteer een kadokaart account (s)"
"You deleted a total of %1 records.","Je hebt een totaal van %1 rijen verwijderd."
"You saved the gift card account.","Je hebt de cadeaubon account opgeslagen."
"An email was not sent because the gift card account is not active.","Een email was niet verzonden omdat de cadeaubon account niet actief is."
"You saved the gift card account, but an email was not sent.","Je hebt de cadeaubon account opgeslagen, maar de email werd niet verzonden."
"We will refund the gift card amount to your customer’s store credit","We zullen het bedrag van de kadokaart van je klant terugbetalen"
"Please enable Store Credit to refund the gift card amount to your customer","Activeer het bedrag voor de terugbetaling van het saldo van de kadokaart aan je klant"
"Please correct the gift card code.","Please correct the gift card code."
"Gift Card ""%1"" was added.","Cadeaubon ""%1"" is toegevoegd."
"We cannot apply this gift card.","We kunnen deze cadeaubon niet toepassen."
"Gift Card ""%1"" was removed.","Cadeaubon ""%1"" werd verwijderd."
"You can't remove this gift card.","Je kan deze Geschenkenkaart niet verwijderen."
"You can't redeem a gift card now.","Het is niet mogelijk je cadeaubon nu te verzilveren."
"Gift Card ""%1"" was redeemed.","Cadeaubon ""%1"" is ingewisseld."
"We cannot redeem this gift card.","We kunnen je cadeaubon niet inwisselen."
"Gift Card","Cadeaubon"
"By admin: %1.","Door admin: %1."
"Could not save the gift card account.","Could not save the gift card account."
"Could not delete the gift card account.","Could not delete the gift card account."
"The expiration date must be set in the future.","De houdbaarheidsdatum moet in de toekomst liggen."
"The balance cannot be less than zero.","Het saldo kan niet klein zijn dan nul."
"This gift card account is already in the quote.","Deze cadeaubon is reeds toegepast op de quote."
"Please correct the gift card account code: ""%1"".","Corrigeer de cadeaubon rekening code: ""%1""."
"This gift card account wasn't found in the quote.","Deze cadeaubon rekening werd niet gevonden in de offerte."
"Please correct the gift card account ID. Requested code: ""%1""","Corrigeer het cadeaubon rekening ID. Aangevraagde code: ""%1"""
"Please correct the gift card account website: %1.","Corrigeer de cadeaubon rekening website: %1."
"Gift card account %1 is not enabled.","Rekening cadeaubon %1 is niet ingeschakeld."
"Gift card account %1 is expired.","Rekening cadeaubon %1 is verlopen."
"Gift card account %1 has a zero balance.","Rekening cadeaubon %1 heeft een nulsaldo."
"Gift card account %1 balance is lower than the charged amount.","Balans van de rekening cadeaubon %1 is lager dan het kostbedrag."
"Available","Beschikbaar"
"Used","Gebruikt"
"Redeemed","Ingewisseld"
"Expired","Verlopen"
"Please enter a valid customer ID.","Voer een geldig klant-id in."
"Gift Card Redeemed: %1. For customer #%2.","Cadeaubon ingewisseld: %1 voor klant #%2."
"Created","Aangemaakt"
"Updated","Bijgewerkt"
"Sent","Verstuurd"
"Order #%1.","Bestelling # %1."
"Recipient: %1.","Geadresseerde: %1."
"Customer #%1.","Klant #%1."
"Please assign a gift card account.","Wijs een cadeaubon rekening toe."
"Unknown history action.","Onbekende geschiedenis actie."
"We were unable to create full code pool size. Please check settings and try again.","Je kan de volledige grootte van de code pool niet maken. Controleer de instellingen en probeer het opnieuw."
"No codes left in the pool.","Geen code beschikbaar in de pool."
"Cart %1 doesn't contain products","Cart %1 doesn't contain products"
"Could not delete gift card from quote","Could not delete gift card from quote"
"Could not add gift card code","Could not add gift card code"
"Please correct the wrong or expired Gift Card Code.","Please correct the wrong or expired Gift Card Code."
"Alphanumeric","Alfanumeriek"
"Alphabetical","Alfabetisch"
"Numeric","Numeriek"
"The maximum generated code length is 255. Please correct your settings.","De maximale lengte van de gegenereerde code is 255. Corrigeer je instellingen."
"Gift Cards","Cadeaubonnen"
"test message","testbericht"
"Generate","Genereren"
"Code Pool used: ","Code-Pool gebruikt: "
" (free "," (gratis "
" of "," van "
" total)."," totaal)."
"Are you sure you want to continue without saving your changes?","Weet je zeker dat je wil doorgaan zonder de wijzigingen op te slaan?"
"Refund Gift Cards to Store Credit","Cadeaubon verzilveren als winkelkrediet"
"Add Gift Card","Cadeaubon toevoegen"
"Remove","Verwijder"
"Gift Card (%1)","Cadeaubon (%1)"
"This won't take long . . .","Dit duurt maar even . . ."
"Enter gift card code","Voer de code op je cadeaubon in"
"Redeem Gift Card","Cadeaubon inwisselen"
"Check status and balance","Status en saldo controleren"
"Have a gift card? ","Heeft je een cadeaubon? "
"Click here","Klik hier"
" to redeem it.","om in te lossen."
"Enter the gift card code","Voer de code van je cadeaubon in"
"Check Gift Card status and balance","Controleer de status en het saldo van de cadeaubon"
"Gift Card: ","Cadeaubon: "
"Current Balance: ","Huidig saldo: "
"Expires: ","Vervalt: "
"Please enter a valid gift card code.","Voer een geldige cadeauboncode in."
"Add or remove gift cards","Toevoegen of verwijderen van cadeaubonnen"
"Gift Card amount applied to order:","Cadeaubon bedrag toegepast op bestelling:"
"You've been sent a gift from %store_name","Je hebt een cadeau ontvangen van %store_name"
"%name,","%name,"
"You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.","Er werd een cadeaubon gestuurd om te gebruiken op %store_name en deze kan nu gebruikt worden voor aankopen."
"Gift Card Code: %code","Cadeaubon code: %code"
"The card has a balance of %balance and can be used at ","De bon heeft een saldo van %balance en kan worden gebruikt bij "
"%store_name","%store_name"
"Apply Gift Card","Cadeaubon toepassen"
"Gift Card:","Cadeaubon:"
"Apply","Toepassen"
"See Balance","Balans bekijken"
"Gift Card amount applied to order: ","Cadeaubon bedrag toegepast op bestelling: "
"Email Sent from Gift Card Account Management","Email verzonden vanuit beheer rekening cadeaubon"
"Gift Card Email Sender","Afzender Cadeaubon E-mail"
"Gift Card Template","Cadeau kaartsjabloon"
"Gift Card Account General Settings","Rekening cadeaubon algemene opties"
"Code Length","Lengte code"
"Excluding prefix, suffix and separators.","Behalve voorvoegsel, achtervoegsel en tussenvoegsels."
"Code Format","Formaat code"
"Code Prefix","Code voorvoegsel"
"Code Suffix","Code achtervoegsel"
"Dash Every X Characters","Streepje elke x karakters"
"if empty no separation","laat leeg voor geen streepjes"
"New Pool Size","Nieuwe pool grootte"
"Low Code Pool Threshold","Low Code Pool drempel"
"IMPORTANT: Be sure to save your configuration before running generation process.","BELANGRIJK: Zorg dat je de configuratie opslaat voordat je het generatieproces draait."
"CSV","CSV"
"Excel XML","Excel XML"
"Are you sure you want to delete these gift card accounts?","Weet je zeker dat je deze cadeaubon accounts wil verwijderen?"
"Code","Interne naam"
"End","Einde"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Invalid Request","Invalid Request"
"Incorrect CAPTCHA","Incorrect CAPTCHA"
